,reaction,name,notes,annotation,gpr,subunit_mw,subunit_num,reaction_mw_not_condider_subunit,reaction_mw_condider_subunit,smoment_no_adj_kcat,smoment_adj_kcat,kcat_in_vitro,kapp,kcat_zhaoxin,kcat_GO,kcat_ec_model,kcat_GO_change_type,kcat_zhao_change_type,model_ori_fluxes,ECMpy_fluxes,model_gecko_no_adj_fluxes,model_gecko_adj_fluxes,model_gecko_no_adj_subunit_fluxes,model_gecko_adj_subunit_fluxes,model_smoment_no_adj_fluxes,model_smoment_adj_fluxes,model_smoment_no_adj_subunit_fluxes,model_smoment_adj_subunit_fluxes
LACZ,h2o_c + lcts_c --> gal_c + glc__D_c,B-galactosidase,,"OrderedDict([('bigg.reaction', 'LACZ'), ('ec-code', ['3.2.1.108', '3.2.1.23']), ('kegg.reaction', ['R01100', 'R06114']), ('metanetx.reaction', 'MNXR101000'), ('rhea', ['10076', '10077', '10078', '10079']), ('sbo', 'SBO:0000375')])",b0344,116.48286,4,116.4829,465.9314,531.1,531.1,33.4091535,20.59817844,33.4091535,33.4091535,20.59817844,,,0,0,0,0,0,0,0,0,0,0
OXCOAHDH,2oxpaccoa_c + 2.0 h2o_c + nadp_c --> 3oxdhscoa_c + 2.0 h_c + nadph_c,"Oxepin-CoA hydrolase/ 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase (NADP+)",,"OrderedDict([('bigg.reaction', 'OXCOAHDH'), ('biocyc', 'META:RXN0-6511'), ('metanetx.reaction', 'MNXR102240'), ('rhea', ['34875', '34876', '34877', '34878']), ('sbo', 'SBO:0000375')])",b1387,73.00263,1,73.0026,73.0026,,,13.21009545,20.52324148,13.21009545,13.21009545,20.52324148,,,0,0,0,0,0,0,0,0,0,0
ALAGLUE,LalaDglu_c --> LalaLglu_c,L-alanyl-gamma-glutamate epimerase,"OrderedDict([('reflection', 'ALAGLUE_reverse')])","OrderedDict([('bigg.reaction', 'ALAGLUE'), ('biocyc', 'META:RXN0-5228'), ('ec-code', '5.1.1.20'), ('kegg.reaction', 'R10938'), ('metanetx.reaction', 'MNXR95690'), ('rhea', ['28394', '28395', '28396', '28397']), ('sbo', 'SBO:0000375')])",b1325,34.67401,1,34.674,34.674,6.907571429,6.907571429,24.13956475,20.40729717,24.13956475,24.13956475,20.40729717,,,0,0,0,0,0,0,0,0,0,0
GALCTD,galct__D_c --> 5dh4dglc_c + h2o_c,Galactarate dehydratase,,"OrderedDict([('bigg.reaction', 'GALCTD'), ('biocyc', 'META:GALACTARDEHYDRA-RXN'), ('ec-code', '4.2.1.42'), ('kegg.reaction', 'R05608'), ('metanetx.reaction', 'MNXR99955'), ('rhea', ['16005', '16006', '16007', '16008']), ('sbo', 'SBO:0000375')])",b3128,56.40161,1,56.4016,56.4016,7.02,7.02,28.24355414,20.26165014,28.24355414,28.24355414,20.26165014,,,0,0,0,0,0,0,0,0,0,0
MLTGY2pp,murein4p3p_p --> anhgm3p_p + anhgm4p_p,Murein lytic transglycosylase (murein4p3p) (periplasm),,"OrderedDict([('bigg.reaction', 'MLTGY2pp'), ('metanetx.reaction', 'MNXR101627'), ('sbo', 'SBO:0000375')])",b0211 or b1193 or b2813 or b2963 or b4392 or b2701 or b2558 or b1097,49.417 or 22.22655 or 40.41061 or 40.11251 or 73.35315 or 40.25575 or 58.30215 or 38.247 ,1 or 1 or 1 or 1 or 1 or 1 or 1 or 1 ,22.2266,22.2266,,,21.32328867,20.04315912,21.32328867,21.32328867,20.04315912,,,0,0,0,0,0,0,0,0,0,0
FA161ACPHi,h2o_c + hdeACP_c --> ACP_c + h_c + hdcea_c,Fatty-acyl-ACP hydrolase,,"OrderedDict([('bigg.reaction', 'FA161ACPHi'), ('ec-code', '3.1.2.14'), ('metanetx.reaction', 'MNXR99103'), ('sbo', 'SBO:0000375')])",b0404,22.9611,1,22.9611,22.9611,3.282793103,3.282793103,36.53013861,20.00414842,36.53013861,36.53013861,20.00414842,,,0,0,0,0,0,0,0,0,0,0
DHORD2,dhor__S_c + q8_c --> orot_c + q8h2_c,Dihydoorotic acid dehydrogenase (quinone8),,"OrderedDict([('bigg.reaction', 'DHORD2'), ('metanetx.reaction', 'MNXR97418'), ('rhea', ['28687', '28688', '28689', '28690']), ('sbo', 'SBO:0000375')])",b0945,36.77452,1,36.7745,36.7745,,44.40705018,24.94266033,20,24.94266034,24.94266034,20,,,0.290106294,0.234006429,0.268960271,0.289897299,0.122320693,0.193791311,0.286475981,0.286475981,0.123716936,0.193740249
PRAGSr,atp_c + gly_c + pram_c --> adp_c + gar_c + h_c + pi_c,Phosphoribosylglycinamide synthase,"OrderedDict([('reflection', 'PRAGSr_reverse')])","OrderedDict([('bigg.reaction', 'PRAGSr'), ('biocyc', 'META:GLYRIBONUCSYN-RXN'), ('ec-code', '6.3.4.13'), ('kegg.reaction', 'R04144'), ('metanetx.reaction', 'MNXR103139'), ('sbo', 'SBO:0000375')])",b4005,45.94036,1,45.9404,45.9404,203.34,170.5213354,11.34883488,20,11.34883488,11.34883488,20,,,0.392909661,0.316929997,0.366069629,0.392626606,0.167645332,0.262464069,0.392626624,0.392626624,0.167557825,0.262394913
PGCD,3pg_c + nad_c --> 3php_c + h_c + nadh_c,Phosphoglycerate dehydrogenase,,"OrderedDict([('bigg.reaction', 'PGCD'), ('biocyc', 'META:PGLYCDEHYDROG-RXN'), ('ec-code', '1.1.1.95'), ('kegg.reaction', 'R01513'), ('metanetx.reaction', 'MNXR102527'), ('rhea', ['12641', '12642', '12643', '12644']), ('sbo', 'SBO:0000375')])",b2913,44.17578,4,44.1758,176.7031,905.5035714,845.3960794,0.55,20,55,55,20,,modify,1.506536071,1.216754909,1.358965588,1.505450752,0,0.974218525,1.505450819,1.505450819,0,0.974092436
FESR,3fe4s_c + fe2_c --> 4fe4s_c,Iron-sulfur cluster repair,,"OrderedDict([('bigg.reaction', 'FESR'), ('metanetx.reaction', 'MNXR99587'), ('sbo', 'SBO:0000375')])",b4209,24.88262,1,24.8826,24.8826,,,67.64320708,19.9557041,67.64320708,67.64320708,19.9557041,,,0.006847594,0.005523427,0.006379829,0.006842661,0.002921708,0.0045742,0.006842661,0.006842661,0.002920183,0.004572995
DXYLTD_reverse,2ddara_c + h2o_c --> dxylnt_c,,"OrderedDict([('reflection', 'DXYLTD')])",,b0269 or b4297,69.399 or 70.017 ,1 or 1 ,69.399,69.399,,,13.92355485,19.91586449,13.92355485,13.92355485,19.91586449,,,0,0.000315503,0,0,0,0,0,0,0.000166803,0
SULR,5.0 h_c + 3.0 nadph_c + so3_c --> 3.0 h2o_c + h2s_c + 3.0 nadp_c,Sulfite reductase (NADPH2),,"OrderedDict([('bigg.reaction', 'SULR'), ('biocyc', 'META:SULFITE-REDUCT-RXN'), ('ec-code', '1.8.1.2'), ('kegg.reaction', 'R00858'), ('metanetx.reaction', 'MNXR104650'), ('rhea', ['13801', '13802', '13803', '13804']), ('sbo', 'SBO:0000375')])",b2764 and b2763,66.26984 and 63.99812 ,8 and 4 ,130.268,786.1512,254.8423077,236.6734904,25.72565416,19.88866846,25.72565416,25.72565416,19.88866846,,,0.217041025,0.175070298,0.202214746,0.216884667,0.092606312,0.144983634,0.216884676,0.216884676,0.092557974,0.144945432
MLDCP2Bpp,h2o_p + murein4p3p_p --> ala__D_p + murein3p3p_p,"Murein L,D-carboxypeptidase (murein4p3p) (periplasm)",,"OrderedDict([('bigg.reaction', 'MLDCP2Bpp'), ('ec-code', '3.4.17.13'), ('metanetx.reaction', 'MNXR101614'), ('sbo', 'SBO:0000375')])",b1678 or b0819 or b1113 or b1990 or b0925,36.082 or 34.636 or 34.636 or 34.411 or 67.812 ,1 or 1 or 1 or 1 or 1 ,34.411,34.411,160,160,18.08953651,19.86536546,18.08953651,18.08953651,19.86536546,,,0,0,0,0,0,0,0,0,0,0
ETHAAL,etha_c --> acald_c + nh4_c,Ethanolamine ammonia-lyase,,"OrderedDict([('bigg.reaction', 'ETHAAL'), ('biocyc', 'META:ETHAMLY-RXN'), ('ec-code', '4.3.1.7'), ('kegg.reaction', 'R00749'), ('metanetx.reaction', 'MNXR97968'), ('rhea', ['15313', '15314', '15315', '15316']), ('sbo', 'SBO:0000375')])",b2441 and b2440,49.40305 and 31.78159 ,6 and 6 ,81.1846,487.1078,128.8442727,128.8442727,770,19.84114555,770,770,19.84114555,,,0,0,0,0,0,0,0,0,0,0
GAPP,g3p_c + h2o_c --> glyald_c + pi_c,Glyceraldehyde-3-phosphate phosphatase,,"OrderedDict([('bigg.reaction', 'GAPP'), ('sbo', 'SBO:0000375')])",b1727,24.33,1,24.33,24.33,,,16.81186092,19.83661868,16.81186092,16.81186092,19.83661868,,,0,0,0,0,0,0,0,0,0,0
AGPAT181,1odec11eg3p_c + octeACP_c --> ACP_c + pa181_c,1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:1),,"OrderedDict([('bigg.reaction', 'AGPAT181'), ('ec-code', '2.3.1.51'), ('metanetx.reaction', 'MNXR95567'), ('sbo', 'SBO:0000375')])",b3018,27.45316,1,27.4532,27.4532,,,10.96438153,19.76804092,10.96438153,10.96438153,19.76804092,,,0,0,0,0,0,0,0,0,0,0
HSDy,hom__L_c + nadp_c --> aspsa_c + h_c + nadph_c,Homoserine dehydrogenase (NADPH),"OrderedDict([('reflection', 'HSDy_reverse')])","OrderedDict([('bigg.reaction', 'HSDy'), ('ec-code', '1.1.1.3'), ('kegg.reaction', 'R01775'), ('metanetx.reaction', 'MNXR100734'), ('rhea', ['15761', '15762', '15763', '15764']), ('sbo', 'SBO:0000375')])",b3940 or b0002,88.88769 or 89.12024 ,2 or 4 ,88.8877,177.7754,5.346,5.332775266,0.24,19.55972572,0.24,0.24,19.55972572,,,0,0,0,0,0,0,0,0,0,0
PETNT181pp,lipa_p + pe181_p --> 12dgr181_p + enlipa_p,Phosphoethanolamine transferase (c-C16:1),,"OrderedDict([('bigg.reaction', 'PETNT181pp'), ('metanetx.reaction', 'MNXR102500'), ('sbo', 'SBO:0000375')])",b3546,63.80439,1,63.8044,63.8044,,,19.64191041,19.46388132,19.64191041,19.64191041,19.46388132,,,0,0,0,0,0,0,0,0,0,0
ALTRH,altrn_c --> 2ddglcn_c + h2o_c,Altronate hydrolase,,"OrderedDict([('bigg.reaction', 'ALTRH'), ('biocyc', 'META:ALTRODEHYDRAT-RXN'), ('ec-code', '4.2.1.7'), ('kegg.reaction', 'R01540'), ('metanetx.reaction', 'MNXR95791'), ('rhea', ['15957', '15958', '15959', '15960']), ('sbo', 'SBO:0000375')])",b3091,54.09308,1,54.0931,54.0931,,,36.05691821,19.4051448,36.05691822,36.05691822,19.4051448,,,0,0,0,0,0,0,0,0,0,0
TYRTA,akg_c + tyr__L_c --> 34hpp_c + glu__L_c,Tyrosine transaminase,"OrderedDict([('reflection', 'TYRTA_reverse')])","OrderedDict([('bigg.reaction', 'TYRTA'), ('biocyc', 'META:TYROSINE-AMINOTRANSFERASE-RXN'), ('ec-code', ['2.6.1.1', '2.6.1.5', '2.6.1.57', '2.6.1.9']), ('kegg.reaction', 'R00734'), ('metanetx.reaction', 'MNXR105000'), ('rhea', ['15093', '15094', '15095', '15096']), ('sbo', 'SBO:0000375')])",b0928 or b4054 or b3770,43.57336 or 43.53781 or 34.09365 ,2 or 2 or 6 ,34.0936,87.0756,335.9275952,313.8995399,12.46670661,19.31887771,12.46670661,12.46670661,19.31887771,,,0,0,0,0,0,0,0,0,0,0
GSNK,atp_c + gsn_c --> adp_c + gmp_c + h_c,Guanosine kinase,,"OrderedDict([('bigg.reaction', 'GSNK'), ('biocyc', 'META:GUANOSINEKIN-RXN'), ('ec-code', '2.7.1.73'), ('kegg.reaction', 'R01228'), ('metanetx.reaction', 'MNXR100432'), ('rhea', ['27710', '27711', '27712', '27713']), ('sbo', 'SBO:0000375')])",b0477,48.44878,2,48.4488,96.8976,,,10.79025912,19.16790021,10.79025912,10.79025912,19.16790021,,,0,0,0,0,0.150901454,0,0,0,0.150739285,2.95E-15
G3PD2,glyc3p_c + nadp_c --> dhap_c + h_c + nadph_c,Glycerol-3-phosphate dehydrogenase (NADP),"OrderedDict([('reflection', 'G3PD2_reverse')])","OrderedDict([('bigg.reaction', 'G3PD2'), ('ec-code', '1.1.1.94'), ('kegg.reaction', 'R00844'), ('metanetx.reaction', 'MNXR99877'), ('rhea', ['11096', '11097', '11098', '11099']), ('sbo', 'SBO:0000375')])",b3608,36.3616,2,36.3616,72.7232,,,31.04372579,19.06784541,31.04372581,31.04372581,19.06784541,,,0,0,0,0,0,0,0,0,0,0
ASNS2,asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c,Asparagine synthetase,,"OrderedDict([('bigg.reaction', 'ASNS2'), ('biocyc', 'META:ASNSYNA-RXN'), ('ec-code', ['6.3.1.1', '6.3.5.4']), ('kegg.reaction', 'R00483'), ('metanetx.reaction', 'MNXR96060'), ('rhea', ['11372', '11373', '11374', '11375']), ('sbo', 'SBO:0000375')])",b3744 or b0674,36.65055 or 62.65901 ,2 or 2 ,36.6506,73.3011,2.023,2.023,16.15793405,19,16.15793405,16.15793405,19,,,0.211404564,0.170523798,0.196963317,0.211252266,0.090201366,0.141218472,0.211252276,0.211252276,0.090154283,0.141181262
FCLK,atp_c + fcl__L_c --> adp_c + fc1p_c + h_c,L-fuculokinase,,"OrderedDict([('bigg.reaction', 'FCLK'), ('biocyc', 'META:FUCULOKIN-RXN'), ('ec-code', '2.7.1.51'), ('kegg.reaction', 'R03241'), ('metanetx.reaction', 'MNXR99469'), ('rhea', ['12376', '12377', '12378', '12379']), ('sbo', 'SBO:0000375')])",b2803,52.25869,1,52.2587,52.2587,,,10.80131667,18.94602085,10.80131667,10.80131667,18.94602085,,,0,0,0,0,0,0,0,0,0,0
UGLT,gal1p_c + udpg_c --> g1p_c + udpgal_c,UDPglucose--hexose-1-phosphate uridylyltransferase,"OrderedDict([('reflection', 'UGLT_reverse')])","OrderedDict([('bigg.reaction', 'UGLT'), ('biocyc', 'META:GALACTURIDYLYLTRANS-RXN'), ('ec-code', '2.7.7.12'), ('kegg.reaction', 'R00955'), ('metanetx.reaction', 'MNXR105090'), ('rhea', ['13989', '13990', '13991', '13992']), ('sbo', 'SBO:0000375')])",b0758,39.64568,2,39.6457,79.2914,295.0923077,295.0923077,62,18.85871497,62,62,18.85871497,,,0,0,0,0,0,0,0,0,0,0
UDPGPT,udcpp_c + udpg_c --> udcpgl_c + ump_c,Undecaprenyl-phosphate glucose phosphotransferase,"OrderedDict([('reflection', 'UDPGPT_reverse')])","OrderedDict([('bigg.reaction', 'UDPGPT'), ('sbo', 'SBO:0000375')])",b2047,52.408,1,52.408,52.408,,,20.89927445,18.73753996,20.89927445,20.89927445,18.73753996,,,0,0,0,0,0,0,0,0,0,0
F6PA,f6p_c --> dha_c + g3p_c,Fructose 6-phosphate aldolase,"OrderedDict([('reflection', 'F6PA_reverse')])","OrderedDict([('bigg.reaction', 'F6PA'), ('biocyc', 'META:RXN0-313'), ('ec-code', '4.1.2.-'), ('metanetx.reaction', 'MNXR99075'), ('rhea', ['28002', '28003', '28004', '28005']), ('sbo', 'SBO:0000375')])",b0825 or b3946,22.99682 or 23.55522 ,10 or 1 ,22.9968,23.5552,,,68.92742334,18.66503202,68.92742333,68.92742333,18.66503202,,,2.27581389,0,0,0,0,0,0,0,0.246633852,1.44E-16
ACHBS,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c,2-aceto-2-hydroxybutanoate synthase,,"OrderedDict([('bigg.reaction', 'ACHBS'), ('biocyc', 'META:ACETOOHBUTSYN-RXN'), ('ec-code', '2.2.1.6'), ('kegg.reaction', 'R08648'), ('metanetx.reaction', 'MNXR95260'), ('rhea', ['27654', '27655', '27656', '27657']), ('sbo', 'SBO:0000375')])",( b3670 and b3671 ) or ( b0077 and b0078 ),( 11.10576 and 60.44057 ) or ( 62.98434 and 17.97676 ) ,( 2 and 2 ) or ( 2 and 2 ) ,71.5463,143.0927,36.49757143,36.49757143,71,18.62913099,71,71,18.62913099,,,0.254793124,0.205522012,0.237387964,0.254609569,0.108714246,0.170202076,0.25460958,0.25460958,0.1086575,0.17015723
ALCD19,glyald_c + h_c + nadh_c --> glyc_c + nad_c,Alcohol dehydrogenase (glycerol),"OrderedDict([('reflection', 'ALCD19_reverse')])","OrderedDict([('bigg.reaction', 'ALCD19'), ('ec-code', ['1.1.1.21', '1.1.1.72']), ('kegg.reaction', 'R01036'), ('metanetx.reaction', 'MNXR95709'), ('rhea', ['30027', '30028', '30029', '30030']), ('sbo', 'SBO:0000375')])",b1478 or b1241,35.37957 or 96.12724 ,4 or 40 ,35.3796,141.5183,5.040245439,5.040245439,17.43445153,18.60804026,17.43445153,17.43445153,18.60804026,,,0,0,0,0,0,0,0,0,0,0
MANAO_reverse,fruur_c + h_c + nadh_c --> mana_c + nad_c,,"OrderedDict([('reflection', 'MANAO')])",,b4323,53.58018,1,53.5802,53.5802,,,25.28657599,18.43672712,25.28657599,25.28657599,18.43672712,,,0,0,0,0,0,0,0,0,0,0
HEPT4,adphep_LD_c + gggagicolipa_c --> adp_c + colipa_c + h_c,Heptosyltransferase IV (LPS core synthesis),,"OrderedDict([('bigg.reaction', 'HEPT4'), ('ec-code', '2.4.1.56'), ('metanetx.reaction', 'MNXR100607'), ('sbo', 'SBO:0000375')])",b3623,41.72946,1,41.7295,41.7295,,,14.60930001,18.34744511,14.60930001,14.60930001,18.34744511,,,0,0,0,0,0,0,0,0,0,0
CYTD,cytd_c + h2o_c + h_c --> nh4_c + uri_c,Cytidine deaminase,,"OrderedDict([('bigg.reaction', 'CYTD'), ('biocyc', 'META:CYTIDEAM2-RXN'), ('ec-code', '3.5.4.5'), ('kegg.reaction', 'R01878'), ('metanetx.reaction', 'MNXR97039'), ('rhea', ['16069', '16070', '16071', '16072']), ('sbo', 'SBO:0000375')])",b2143,31.53987,2,31.5399,63.0797,,,27.82113049,18.31787659,27.82113047,27.82113047,18.31787659,,,0,0,0,0,0,0,0,0,0,0
SFGTHi,Sfglutth_c + h2o_c --> for_c + gthrd_c + h_c,S-Formylglutathione hydralase,,"OrderedDict([('bigg.reaction', 'SFGTHi'), ('biocyc', 'META:S-FORMYLGLUTATHIONE-HYDROLASE-RXN'), ('ec-code', '3.1.2.12'), ('kegg.reaction', 'R00527'), ('metanetx.reaction', 'MNXR104357'), ('rhea', ['14961', '14962', '14963', '14964']), ('sbo', 'SBO:0000375')])",b2154 or b0355,31.25928 or 31.42448 ,4 or 1 ,31.2593,31.4245,5.814285714,5.814285714,45.06842978,18.26042983,45.06842978,45.06842978,18.26042983,,,0,0,0,0,0,0,0,0,0,0
XAND,h2o_c + nad_c + xan_c --> h_c + nadh_c + urate_c,Xanthine dehydrogenase,,"OrderedDict([('bigg.reaction', 'XAND'), ('biocyc', 'META:RXN0-901'), ('ec-code', '1.17.1.4'), ('kegg.reaction', 'R02103'), ('metanetx.reaction', 'MNXR105225'), ('rhea', ['16669', '16670', '16671', '16672']), ('sbo', 'SBO:0000375')])",b2867 and b2866 and b2868,31.55681 and 81.32083 and 16.92171 ,1 and 1 and 1 ,129.7994,129.7994,75.36363636,75.36363636,17.55187925,18.19934309,17.55187925,17.55187925,18.19934309,,,0,0,0,0,0,0,0,0,0,0
ALCD2x,etoh_c + nad_c --> acald_c + h_c + nadh_c,Alcohol dehydrogenase (ethanol),"OrderedDict([('reflection', 'ALCD2x_reverse')])","OrderedDict([('bigg.reaction', 'ALCD2x'), ('biocyc', 'META:ALCOHOL-DEHYDROG-RXN'), ('ec-code', ['1.1.1.1', '1.1.1.71']), ('kegg.reaction', 'R00754'), ('metanetx.reaction', 'MNXR95725'), ('rhea', ['25290', '25291', '25292', '25293']), ('sbo', 'SBO:0000375')])",b1241 or b1478,96.12724 or 35.37957 ,40 or 4 ,35.3796,141.5183,170.5919231,170.5919231,10.63218651,18.16336914,10.63218651,10.63218651,18.16336914,,,0,0,0,0,0,0,0,0,0,0
FRUK,atp_c + f1p_c --> adp_c + fdp_c + h_c,Fructose-1-phosphate kinase,,"OrderedDict([('bigg.reaction', 'FRUK'), ('ec-code', '2.7.1.56'), ('metanetx.reaction', 'MNXR99652'), ('rhea', ['14213', '14214', '14215', '14216']), ('sbo', 'SBO:0000375')])",b2168,33.75569,2,33.7557,67.5114,,,1.4,18.10170852,1.4,1.4,18.10170852,,,0,0,0,0,0,0,0,0,0,0
NADHXD,adp_c + nadhx__S_c --> amp_c + h_c + nadh_c + pi_c,NADHX dehydratase,,"OrderedDict([('bigg.reaction', 'NADHXD'), ('sbo', 'SBO:0000375')])",b4167,54.65,1,54.65,54.65,,,23.25839481,18.07267687,23.25839481,23.25839481,18.07267687,,,0,0,0,0,0,0,0,0,0,0
PDE4,35cgmp_c + h2o_c --> gmp_c + h_c,"3',5'-cyclic-nucleotide phosphodiesterase",,"OrderedDict([('bigg.reaction', 'PDE4'), ('biocyc', 'META:35-CYCLIC-GMP-PHOSPHODIESTERASE-RXN'), ('ec-code', ['3.1.4.17', '3.1.4.35']), ('kegg.reaction', 'R01234'), ('metanetx.reaction', 'MNXR100078'), ('rhea', ['16957', '16958', '16959', '16960']), ('sbo', 'SBO:0000375')])",b1489,90.26038,2,90.2604,180.5208,6.138013636,6.138013636,19.69618695,18.02105742,19.69618695,19.69618695,18.02105742,,,0,0,0,0,0,0,0,0,0,0
DTMPK,atp_c + dtmp_c --> adp_c + dtdp_c,DTMP kinase,"OrderedDict([('reflection', 'DTMPK_reverse')])","OrderedDict([('bigg.reaction', 'DTMPK'), ('biocyc', 'META:DTMPKI-RXN'), ('ec-code', ['2.7.4.12', '2.7.4.13', '2.7.4.9']), ('kegg.reaction', 'R02094'), ('metanetx.reaction', 'MNXR97804'), ('rhea', ['13517', '13518', '13519', '13520']), ('sbo', 'SBO:0000375')])",b1098,23.78314,1,23.7831,23.7831,7.773636364,7.94163283,14.83910281,18,14.83910281,14.83910281,18,,,0.022947509,0.01850999,0.021379943,0.022930978,0.009791164,0.01532896,0.022930979,0.022930979,0.009786053,0.015324921
PSSA161,cdpdhdec9eg_c + ser__L_c --> cmp_c + h_c + ps161_c,Phosphatidylserine syntase (n-C16:1),,"OrderedDict([('bigg.reaction', 'PSSA161'), ('ec-code', '2.7.8.8'), ('metanetx.reaction', 'MNXR103270'), ('sbo', 'SBO:0000375')])",b2585,52.80179,1,52.8018,52.8018,,,11.9275613,18,11.9275613,11.9275613,18,,,0.065962468,0.053206849,0.06145651,0.065914949,0.028144637,0.044062999,0.065914952,0.065914952,0.028129947,0.044051389
UAG2E_reverse,uacmam_c --> uacgam_c,,"OrderedDict([('reflection', 'UAG2E')])",,b3786,42.24459,2,42.2446,84.4892,3.03025,3.03025,14.93773347,17.98853613,14.93773347,14.93773347,17.98853613,,,0,0,0,0,0,0,0,0,0,0
ACACT1r,2.0 accoa_c --> aacoa_c + coa_c,Acetyl-CoA C-acetyltransferase,"OrderedDict([('reflection', 'ACACT1r_reverse')])","OrderedDict([('bigg.reaction', 'ACACT1r'), ('biocyc', 'META:ACETYL-COA-ACETYLTRANSFER-RXN'), ('ec-code', '2.3.1.9'), ('kegg.reaction', 'R00238'), ('metanetx.reaction', 'MNXR95194'), ('rhea', ['21036', '21037', '21038', '21039']), ('sbo', 'SBO:0000375')])",b2342 or b2224 or b3845,46.5305 or 40.35248 or 40.8762 ,1 or 4 or 2 ,40.3525,46.5305,333607.94,333607.94,6.5,17.98486026,6.5,6.5,17.98486026,,,0.312105769,0.251751713,0,0.311880925,0.133168207,0.208486983,0.311880939,0.311880939,0.133098697,0.208432049
MLTG1,h2o_c + malttr_c --> glc__D_c + malt_c,Maltodextrin glucosidase (maltotriose),,"OrderedDict([('bigg.reaction', 'MLTG1'), ('biocyc', 'META:RXN0-5183'), ('ec-code', '3.2.1.20'), ('metanetx.reaction', 'MNXR101619'), ('sbo', 'SBO:0000375')])",b0403,69.041,1,69.041,69.041,130.5025,130.5025,30.82263895,17.94755623,30.82263894,30.82263894,17.94755623,,,0,0,0,0,0,0,0,0,0,0
HXAND,h2o_c + hxan_c + nad_c --> h_c + nadh_c + xan_c,Hypoxanthine dehydrogenase,,"OrderedDict([('bigg.reaction', 'HXAND'), ('biocyc', 'META:RXN-7682'), ('ec-code', '1.17.1.4'), ('kegg.reaction', 'R01768'), ('metanetx.reaction', 'MNXR100747'), ('rhea', ['24670', '24671', '24672', '24673']), ('sbo', 'SBO:0000375')])",b2867 and b2866 and b2868,31.55681 and 81.32083 and 16.92171 ,1 and 1 and 1 ,129.7994,129.7994,182.6666667,182.6666667,17.76574436,17.94683866,17.76574436,17.76574436,17.94683866,,,0,0,0,0,0,0.142491492,0,0,0,0.142453947
EDTXS4,kdo2lipid4p_c + myrsACP_c --> ACP_c + lipa_cold_c,Endotoxin Synthesis (myristoyl transferase),,"OrderedDict([('bigg.reaction', 'EDTXS4'), ('metanetx.reaction', 'MNXR97904'), ('sbo', 'SBO:0000375')])",b1855,37.41038,1,37.4104,37.4104,,,16.404609,17.68708818,16.404609,16.404609,17.68708818,,,0,0,0,0,0,0,0,0,0,0
FACOAE140,h2o_c + tdcoa_c --> coa_c + h_c + ttdca_c,Fatty-acid-CoA thioesterase (tetradecanoate),,"OrderedDict([('bigg.reaction', 'FACOAE140'), ('ec-code', '3.1.2.2'), ('metanetx.reaction', 'MNXR99129'), ('sbo', 'SBO:0000375')])",b0452,31.96633,4,31.9663,127.8653,10.84344615,10.84344615,12.58583878,17.5965996,12.58583878,12.58583878,17.5965996,,,-7.74E-31,0,0,0,0,0,0,0,0,0
GLUDC,glu__L_c + h_c --> 4abut_c + co2_c,Glutamate Decarboxylase,,"OrderedDict([('bigg.reaction', 'GLUDC'), ('biocyc', 'META:GLUTDECARBOX-RXN'), ('ec-code', '4.1.1.15'), ('kegg.reaction', 'R00261'), ('metanetx.reaction', 'MNXR95942'), ('rhea', ['17785', '17786', '17787', '17788']), ('sbo', 'SBO:0000375')])",b3517 or b1493,52.68516 or 52.66813 ,6 or 6 ,52.6681,316.0088,20.496225,20.496225,19.48732337,17.55455847,19.48732337,19.48732337,17.55455847,,,0,0,0,0,0,0,-1.47E-15,-1.47E-15,0,0
ALATA_L,akg_c + ala__L_c --> glu__L_c + pyr_c,L-alanine transaminase,"OrderedDict([('reflection', 'ALATA_L_reverse')])","OrderedDict([('bigg.reaction', 'ALATA_L'), ('biocyc', ['META:ALANINE-AMINOTRANSFERASE-RXN', 'META:RXN-13698']), ('ec-code', '2.6.1.2'), ('kegg.reaction', 'R00258'), ('metanetx.reaction', 'MNXR95698'), ('rhea', ['19453', '19454', '19455', '19456']), ('sbo', 'SBO:0000375')])",b2290 or b2379,45.51737 or 46.21621 ,2 or 2 ,45.5174,91.0347,41.3976,44.84123687,69.92440238,17.544364,69.92440239,69.92440239,17.544364,,,0,0,0,0,0,0,0,0,0,0
CDAPPA180,cdpdodecg_c + h2o_c --> cmp_c + 2.0 h_c + pa180_c,CDP-Diacylglycerol pyrophostatase (n-C18:0),,"OrderedDict([('bigg.reaction', 'CDAPPA180'), ('ec-code', '3.6.1.26'), ('metanetx.reaction', 'MNXR96506'), ('sbo', 'SBO:0000375')])",b3918,28.45076,1,28.4508,28.4508,,,9.665173239,17.53935534,9.665173239,9.665173239,17.53935534,,,0,0,0,0,0,0,0,0,0,0
