,ori_gecko_smoment_flux_cb,ori_gecko_smoment_subunit_flux_cb,mw_cb,kcat_cb
MDDEP1pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,21.04 # 21.04,nan # nan # 19.83 # 8.34 # 19.83 # 19.83 # 8.34
ACACT6r_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,40.8762 # 46.5305,333607.94 # 333607.94 # 11.6 # 8.33 # 11.6 # 11.6 # 8.33
PPK,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,80.4315 # 160.863,nan # nan # 14.4 # 8.32 # 14.4 # 14.4 # 8.32
FDH5pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,170.1061 # 170.1061,nan # nan # 15.62 # 8.31 # 15.62 # 15.62 # 8.31
ASAD,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,40.0179 # 80.0358,229.56 # 217.58 # 17.79 # 8.31 # 17.79 # 17.79 # 8.31
MLDEP2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,30.1367 # 60.2733,nan # nan # 16.39 # 8.3 # 16.39 # 16.39 # 8.3
PSERT,1.51 # 1.51 # 1.51,1.51 # 1.22 # 0.97 # 0.97,39.7833 # 79.5666,1.07 # 1.48 # 13.32 # 8.3 # 13.32 # 13.32 # 8.3
CTECOAI8,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,79.5939 # 159.1878,95.43 # 95.43 # 9.2 # 8.3 # 9.2 # 9.2 # 8.3
GLYCK,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,38.7345 # 38.7345,275.0 # 275.0 # 15.73 # 8.27 # 15.73 # 15.73 # 8.27
AMPTASEPG,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,46.1802 # 98.9189,nan # nan # 34.77 # 8.23 # 34.77 # 34.77 # 8.23
3HBZCT,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,14.97 # 59.88,nan # nan # 27.38 # 8.22 # 27.38 # 27.38 # 8.22
SHK3Dr_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,29.4136 # 29.4136,75.73 # 75.42 # 237.0 # 8.2 # 237.0 # 237.0 # 8.2
G3PD6,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,148.4235 # 148.4235,nan # nan # 33.3 # 8.19 # 33.3 # 33.3 # 8.19
PGMT_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,20.7798 # 20.7798,57.65 # 57.65 # 15.54 # 8.17 # 15.54 # 15.54 # 8.17
PYDXPP,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,27.163 # 27.163,5.2 # 5.2 # 51.24 # 8.16 # 51.24 # 51.24 # 8.16
3HPADHi,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,53.4186 # 53.4186,nan # nan # 11.71 # 8.16 # 11.71 # 11.71 # 8.16
FALDH2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,39.359 # 78.718,1885.21 # 1885.21 # 21.54 # 8.14 # 21.54 # 21.54 # 8.14
NTPP1,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,14.9271 # 14.9271,14.29 # 14.29 # 29.84 # 8.12 # 29.84 # 29.84 # 8.12
PERD_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,41.3676 # 82.7353,1.2 # 1.2 # 23.74 # 8.09 # 23.74 # 23.74 # 8.09
CTECOAI6_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,79.5939 # 159.1878,95.43 # 95.43 # 10.02 # 8.09 # 10.02 # 10.02 # 8.09
BWCOGDS2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,21.6429 # 21.6429,nan # nan # 12.9 # 8.07 # 12.9 # 12.9 # 8.07
HYD3pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,134.532 # 181.7482,267.67 # 267.67 # 17.91 # 8.06 # 17.91 # 17.91 # 8.06
PMANM,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,50.4626 # 50.4626,24.8 # 24.8 # 19.2 # 8.05 # 19.2 # 19.2 # 8.05
HACD6_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,77.0722 # 77.0722,1379.3 # 1379.3 # 19.5 # 8.02 # 19.5 # 19.5 # 8.02
CDPPH,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,35.353 # 35.353,508.05 # 508.05 # 15.74 # 8.02 # 15.74 # 15.74 # 8.02
PRPPS,0.82 # 0.0 # 0.0,0.82 # 0.66 # 0.0 # 0.0,34.2183 # 34.2183,38.39 # 38.39 # 21.24 # 8.0 # 21.24 # 21.24 # 8.0
UAAGDS,0.02 # 0.02 # 0.02,0.02 # 0.02 # 0.02 # 0.02,53.3436 # 53.3436,3.71 # 3.71 # 9.44 # 8.0 # 9.44 # 9.44 # 8.0
HSST,0.13 # 0.13 # 0.13,0.13 # 0.11 # 0.09 # 0.09,35.7273 # 71.4546,19.02 # 17.5 # 5.23 # 8.0 # 5.23 # 5.23 # 8.0
MTHFD_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,31.0438 # 62.0875,175.11 # 175.11 # 18.87 # 8.0 # 18.87 # 18.87 # 8.0
NTD2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,26.1035 # 60.824,96.65 # 96.65 # 61.0 # 7.98 # 61.0 # 61.0 # 7.98
PFK_2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,34.842 # 139.3682,105.59 # 104.38 # 62.0 # 7.98 # 62.0 # 62.0 # 7.98
TAGURr,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,54.8083 # 54.8083,nan # nan # 15.74 # 7.96 # 15.74 # 15.74 # 7.96
DHNAOT4,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,33.594 # 33.594,nan # nan # 12.9 # 7.96 # 12.9 # 12.9 # 7.96
LPLIPAL2ATG161,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,38.9783 # 38.9783,nan # nan # 12.61 # 7.94 # 12.61 # 12.61 # 7.94
ACCOAC,0.07 # 0.2 # 0.2,0.07 # 0.06 # 0.2 # 0.2,134.5714 # 252.4556,11.61 # 8.62 # 8.92 # 7.93 # 8.92 # 8.92 # 7.93
GPDDA5pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,40.8434 # 81.6867,nan # nan # 30.62 # 7.93 # 30.62 # 30.62 # 7.93
HACD5_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,77.0722 # 77.0722,1379.3 # 1379.3 # 20.0 # 7.93 # 20.0 # 20.0 # 7.93
AHGDx_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,44.1758 # 176.7031,11.15 # 11.15 # 16.54 # 7.93 # 16.54 # 16.54 # 7.93
CYTBD2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,100.3437 # 100.3437,nan # nan # 23.58 # 7.91 # 23.58 # 23.58 # 7.91
PSD161,0.07 # 0.07 # 0.07,0.07 # 0.05 # 0.04 # 0.04,35.9344 # 35.9344,nan # nan # 19.1 # 7.9 # 19.1 # 19.1 # 7.9
2DDARAA,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,32.53 # 32.722,nan # nan # 40.91 # 7.9 # 40.91 # 40.91 # 7.9
ALLULPE,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,26.1092 # 26.1092,nan # nan # 18.13 # 7.89 # 18.13 # 18.13 # 7.89
INOSTO_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,61.163999999999994 # 61.163999999999994,1.91 # 1.91 # 13.88 # 7.88 # 13.88 # 13.88 # 7.88
ATHRDHr_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,27.2489 # 108.9957,12.3 # 12.3 # 20.25 # 7.87 # 20.25 # 20.25 # 7.87
FACOAE181,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,31.9663 # 127.8653,nan # nan # 23.33 # 7.86 # 23.33 # 23.33 # 7.86
NTPTP1,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,59.3829 # 356.2976,4000.0 # 4000.0 # 4000.0 # 7.83 # 4000.0 # 4000.0 # 7.83
RHMND,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,44.226000000000006 # 353.80800000000005,nan # nan # 14.82 # 7.81 # 14.82 # 14.82 # 7.81
SGSAD,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,53.0263 # 53.0263,nan # nan # 20.06 # 7.81 # 20.06 # 20.06 # 7.81
O16GLCT1,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,43.1882 # 43.1882,nan # nan # 9.26 # 7.79 # 9.26 # 9.26 # 7.79
ALPATG160pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,65.3893 # 82.0363,nan # nan # 13.96 # 7.76 # 13.96 # 13.96 # 7.76
UMPK_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,24.7463 # 24.7463,170.8 # 165.46 # 16.74 # 7.73 # 16.74 # 16.74 # 7.73
GK1_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,23.5927 # 47.1854,287.38 # 269.51 # 209.0 # 7.72 # 209.0 # 209.0 # 7.72
RNDR2b,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,126.0597 # 242.982,nan # nan # 21.74 # 7.7 # 21.74 # 21.74 # 7.7
NADPHQR2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 49.47 # 49.48,21.8909 # 43.7818,nan # nan # 14.66 # 7.7 # 14.66 # 14.66 # 7.7
4PCP,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,33.5675 # 33.5675,nan # nan # 102.23 # 7.7 # 102.23 # 102.23 # 7.7
PYK2,0.0 # 0.37 # 0.0,0.0 # 0.0 # 0.0 # 0.0,51.3571 # 205.4286,427.98 # 427.98 # 13.63 # 7.69 # 13.63 # 13.63 # 7.69
CYSDDS,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,35.1533 # 70.3066,2832.84 # 2832.84 # 15.35 # 7.68 # 15.35 # 15.35 # 7.68
PPDOy,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,37.978 # 37.978,nan # nan # 9.55 # 7.67 # 9.55 # 9.55 # 7.67
ADK4_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,23.586 # 23.586,nan # 0.84 # 26.24 # 7.66 # 26.24 # 26.24 # 7.66
SERD_D,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,47.9006 # 47.9006,18.72 # 18.72 # 1.6 # 7.64 # 1.6 # 1.6 # 7.64
DAAD,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,47.6073 # 95.2146,53.46 # 53.46 # 18.48 # 7.63 # 18.48 # 18.48 # 7.63
BMOGDS1,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,21.6429 # 21.6429,nan # nan # 20.28 # 7.59 # 20.28 # 20.28 # 7.59
GALS3,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,50.6571 # 101.3141,193.61 # 193.61 # 19.44 # 7.59 # 19.44 # 19.44 # 7.59
CLPNS120pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,47.6335 # 47.6335,nan # nan # 20.16 # 7.58 # 20.16 # 20.16 # 7.58
MLTP2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,90.5224 # 181.0448,49.31 # 49.31 # 16.17 # 7.57 # 16.17 # 16.17 # 7.57
CBLAT_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,21.9989 # 21.9989,176.33 # 176.33 # 24.87 # 7.55 # 24.87 # 24.87 # 7.55
2HESR,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,24.516 # 49.032,nan # nan # 14.93 # 7.54 # 14.93 # 14.93 # 7.54
LPLIPAL2ATE160,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,38.9783 # 38.9783,nan # nan # 16.98 # 7.54 # 16.98 # 16.98 # 7.54
AGPR,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,35.9521 # 35.9521,nan # nan # 32.55 # 7.54 # 32.55 # 32.55 # 7.54
TDPADGAT,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,24.2204 # 24.2204,nan # nan # 43.59 # 7.54 # 43.59 # 43.59 # 7.54
ACACCT,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,46.4859 # 57.562,290.0 # 290.0 # 16.51 # 7.53 # 16.51 # 16.51 # 7.53
GALKr_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,41.4421 # 41.4421,30.79 # 30.79 # 23.83 # 7.53 # 23.83 # 23.83 # 7.53
METNA_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,19.248 # 38.496,nan # nan # 23.55 # 7.52 # 23.55 # 23.55 # 7.52
NTP1,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,39.1933 # 39.1933,8.8 # 8.8 # 17.2 # 7.51 # 17.2 # 17.2 # 7.51
SDPTA_reverse,0.33 # 0.0 # 0.33,0.33 # 0.26 # 0.0 # 0.22,39.7833 # 44.7291,24.0 # 13.56 # 11.68 # 7.5 # 11.68 # 11.68 # 7.5
GLCP,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,90.5224 # 181.0448,nan # nan # 11.07 # 7.48 # 11.07 # 11.07 # 7.48
TDSK,0.02 # 0.02 # 0.02,0.02 # 0.01 # 0.01 # 0.01,35.5893 # 35.5893,2.4 # 2.4 # 8.77 # 7.47 # 8.77 # 8.77 # 7.47
GNK,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,19.5433 # 21.004,9.4 # 9.4 # 23.03 # 7.43 # 23.03 # 23.03 # 7.43
PPM2_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,44.37 # 44.37,105.95 # 105.95 # 21.77 # 7.43 # 21.77 # 21.77 # 7.43
FRULYSK,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,28.3318 # 28.3318,nan # nan # 13.91 # 7.41 # 13.91 # 13.91 # 7.41
ACACT7r_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,40.8762 # 46.5305,333607.94 # 333607.94 # 17.85 # 7.4 # 17.85 # 17.85 # 7.4
TMDS,0.02 # 0.02 # 0.02,0.02 # 0.02 # 0.02 # 0.02,30.4797 # 60.9594,3.87 # 3.81 # 0.28 # 7.4 # 0.28 # 0.28 # 7.4
MDDCP3pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,41.849 # 41.849,33.84 # 33.84 # 18.86 # 7.39 # 18.86 # 18.86 # 7.39
FRULYSE_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,31.1688 # 249.3506,nan # nan # 24.45 # 7.36 # 24.45 # 24.45 # 7.36
MDDCP2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,41.849 # 41.849,33.84 # 33.84 # 18.31 # 7.36 # 18.31 # 18.31 # 7.36
RBK_L1,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,61.0894 # 122.1788,58.98 # 58.98 # 0.84 # 7.36 # 0.84 # 0.84 # 7.36
PSD141,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,35.9344 # 35.9344,nan # nan # 11.04 # 7.34 # 11.04 # 11.04 # 7.34
TRE6PS,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,53.6112 # 53.6112,203.96 # 203.96 # 3.2 # 7.34 # 3.2 # 3.2 # 7.34
MLTGY3pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,22.2266 # 22.2266,nan # nan # 14.91 # 7.34 # 14.91 # 14.91 # 7.34
AMALT3,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,78.5035 # 78.5035,129.57 # 129.57 # 12.4 # 7.33 # 12.4 # 12.4 # 7.33
TMAOR1pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,129.2504 # 129.2504,nan # nan # 10.63 # 7.32 # 10.63 # 10.63 # 7.32
G2PPpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,26.1035 # 98.8772,nan # nan # 2.9 # 7.32 # 2.9 # 2.9 # 7.32
MDDEP4pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,21.04 # 21.04,nan # nan # 28.89 # 7.31 # 28.89 # 28.89 # 7.31
LYSAM,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,38.75 # 38.75,41.54 # 41.54 # 19.63 # 7.31 # 19.63 # 19.63 # 7.31
DHNCOAS,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,31.6331 # 189.7985,nan # nan # 0.06 # 7.29 # 0.06 # 0.06 # 7.29
OP4ENH,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,28.8899 # 144.4494,193.16 # 193.16 # 450.0 # 7.27 # 450.0 # 450.0 # 7.27
3PEPTabcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,200.7513 # 200.7513,nan # nan # 17.76 # 7.25 # 17.76 # 17.76 # 7.25
FEOXAMR1,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,30.1128 # 30.1128,nan # nan # 14.0 # 7.24 # 14.0 # 14.0 # 7.24
GLTPD_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,37.3901 # 74.7803,nan # nan # 22.19 # 7.23 # 22.19 # 22.19 # 7.23
HEPK2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,27.461 # 27.461,nan # nan # 11.89 # 7.23 # 11.89 # 11.89 # 7.23
2AGPGAT140,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,80.7 # 80.7,nan # nan # 14.36 # 7.22 # 14.36 # 14.36 # 7.22
2AGPGAT181,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,80.7 # 80.7,nan # nan # 8.31 # 7.22 # 8.31 # 8.31 # 7.22
CLPNS140pp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,47.6335 # 47.6335,nan # nan # 16.19 # 7.21 # 16.19 # 16.19 # 7.21
AMANAPEr,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,24.0737 # 24.0737,nan # nan # 18.93 # 7.21 # 18.93 # 18.93 # 7.21
LADGMDH,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,26.558000000000003 # 53.11600000000001,nan # nan # 15.51 # 7.21 # 15.51 # 15.51 # 7.21
RMPA,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,30.1455 # 120.58200000000001,16.64 # 16.64 # 38.3 # 7.2 # 38.3 # 38.3 # 7.2
OXDHCOAT,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,70.6812 # 70.6812,nan # nan # 8.83 # 7.2 # 8.83 # 8.83 # 7.2
GTHOr,0.0 # 0.22 # 0.22,0.0 # 0.04 # 0.14 # 0.14,48.7725 # 97.545,324.56 # 324.56 # 37.71 # 7.19 # 37.71 # 37.71 # 7.19
4HTHRK,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,33.6236 # 67.2473,nan # nan # 17.82 # 7.18 # 17.82 # 17.82 # 7.18
DDPGALA,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,21.3906 # 21.3906,13.52 # 13.52 # 40.16 # 7.17 # 40.16 # 40.16 # 7.17
BWCOGDS1,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,21.6429 # 21.6429,nan # nan # 16.62 # 7.16 # 16.62 # 16.62 # 7.16
DHPTDNRN,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,23.9052 # 47.8104,89.94 # 89.94 # 11.09 # 7.16 # 11.09 # 11.09 # 7.16
NDPK4_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,15.4634 # 23.586,194.85 # 184.64 # 16.15 # 7.15 # 16.15 # 16.15 # 7.15
CYTK2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,24.7463 # 24.7463,51.04 # 51.04 # 109.0 # 7.15 # 109.0 # 109.0 # 7.15
NTPP10,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,21.0388 # 42.0777,224.73 # 224.73 # 25.76 # 7.14 # 25.76 # 25.76 # 7.14
LIPATPT,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,37.9259 # 37.9259,0.17 # 0.17 # 14.43 # 7.14 # 14.43 # 14.43 # 7.14
APG3PAT141,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,22.1934 # 22.1934,nan # nan # 32.13 # 7.12 # 32.13 # 32.13 # 7.12
LYSAM_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,38.75 # 38.75,41.54 # 41.54 # 20.33 # 7.11 # 20.33 # 20.33 # 7.11
DDGALK,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,31.3736 # 31.3736,18.75 # 18.75 # 15.26 # 7.11 # 15.26 # 15.26 # 7.11
SUCBZS,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,35.4766 # 35.4766,89.56 # 89.56 # 32.96 # 7.09 # 32.96 # 32.96 # 7.09
PAPSR2,0.0 # 0.0 # 0.22,0.0 # 0.0 # 0.0 # 0.14,37.1133 # 65.0891,0.61 # 0.61 # 17.73 # 7.07 # 17.73 # 17.73 # 7.07
AMMQLT8,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,28.0732 # 28.0732,nan # nan # 19.52 # 7.06 # 19.52 # 19.52 # 7.06
LPLIPAL2A161,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,38.9783 # 38.9783,nan # nan # 15.01 # 7.06 # 15.01 # 15.01 # 7.06
ECOAH7_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,77.0722 # 77.0722,1111.9 # 1111.9 # 13.01 # 6.99 # 13.01 # 13.01 # 6.99
CXSAMS,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,27.776999999999997 # 55.553999999999995,nan # nan # 39.35 # 6.98 # 39.35 # 39.35 # 6.98
S2FE2SS2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,189.3845 # 277.20099999999996,nan # nan # 8.64 # 6.97 # 8.64 # 8.64 # 6.97
PEAMNOpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,84.3787 # 168.7573,32.37 # 32.37 # 19.58 # 6.97 # 19.58 # 19.58 # 6.97
NTD4,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,26.9004 # 26.9004,96.65 # 96.65 # 91.0 # 6.96 # 91.0 # 91.0 # 6.96
NTP3,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,31.565 # 31.565,19.86 # 19.86 # 0.33 # 6.91 # 0.33 # 0.33 # 6.91
DC6PDA,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,27.774 # 27.774,nan # nan # 33.11 # 6.91 # 33.11 # 33.11 # 6.91
XYLK,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,52.6182 # 105.2365,713.71 # 713.71 # 10.43 # 6.89 # 10.43 # 10.43 # 6.89
GLCRAL,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,27.3842 # 164.305,119.79 # 119.79 # 23.76 # 6.88 # 23.76 # 23.76 # 6.88
ICHORS_copy2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,48.7646 # 97.5291,11.01 # 11.01 # 1.33 # 6.88 # 1.33 # 1.33 # 6.88
GLUCYS,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,58.2693 # 58.2693,1074.56 # 1074.56 # 22.1 # 6.87 # 22.1 # 22.1 # 6.87
MICITDr,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,93.4981 # 186.9962,3.0 # 18.86 # 12.48 # 6.87 # 12.48 # 12.48 # 6.87
MLTP1,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,90.5224 # 181.0448,49.31 # 49.31 # 38.0 # 6.86 # 38.0 # 38.0 # 6.86
TDPGDH,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,39.7538 # 39.7538,94.69 # 94.69 # 13.81 # 6.86 # 13.81 # 13.81 # 6.86
FCLPA,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,23.2225 # 23.2225,12.99 # 12.99 # 19.3 # 6.85 # 19.3 # 19.3 # 6.85
NDPK2,0.37 # 0.0 # 0.37,0.37 # 0.28 # 0.25 # 0.25,15.4634 # 23.586,194.85 # 184.64 # 13.9 # 6.83 # 13.9 # 13.9 # 6.83
QMO2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,11.5324 # 23.0648,nan # nan # 39.59 # 6.83 # 39.59 # 39.59 # 6.83
ECOAH8_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,77.0722 # 77.0722,1111.9 # 1111.9 # 11.48 # 6.81 # 11.48 # 11.48 # 6.81
M1PD_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,41.138999999999996 # 41.138999999999996,67.89 # 67.89 # 23.17 # 6.8 # 23.17 # 23.17 # 6.8
DHORTS_reverse,0.29 # 0.29 # 0.29,0.29 # 0.23 # 0.19 # 0.19,38.8274 # 77.6548,65.26 # 61.13 # 62.06 # 6.8 # 62.06 # 62.06 # 6.8
CTECOAI6,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,79.5939 # 159.1878,95.43 # 95.43 # 11.13 # 6.79 # 11.13 # 11.13 # 6.79
SOTA,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,43.6654 # 87.3307,3.73 # 3.73 # 3.0 # 6.79 # 3.0 # 3.0 # 6.79
AGM4PApp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,31.072 # 31.072,nan # nan # 11.98 # 6.78 # 11.98 # 11.98 # 6.78
