,fluxes,equ,kcat,MW,kcat_MW,source
GLUN,0.0,gln__L_c + h2o_c --> glu__L_c + nh4_c,127426.0,67.0312,1900.9953573858145,
GLUPRT,0.3351456914518301,gln__L_c + h2o_c + prpp_c --> glu__L_c + ppi_c + pram_c,,,,
GMPR,0.0,gmp_c + 2.0 h_c + nadph_c --> imp_c + nadp_c + nh4_c,1213.2,149.5347,8.11316704417102,
NADS1,0.0017040913294098098,atp_c + dnad_c + nh4_c --> amp_c + h_c + nad_c + ppi_c,3468.3599990000002,61.2737,56.60438326720927,
NTRIR2x,0.0,5.0 h_c + 3.0 nadh_c + no2_c --> 2.0 h2o_c + 3.0 nad_c + nh4_c,468000.0,105.4053,4440.00444000444,
OCBT,0.22127154631614332,cbp_c + orn_c --> citr__L_c + h_c + pi_c,2039312.58,110.4814,18458.424494982868,
GARFT,0.25187412410136784,10fthf_c + gar_c --> fgam_c + h_c + thf_c,22952.16,23.2383,987.6867068589357,
GPDDA1,0.0,g3pc_c + h2o_c --> chol_c + glyc3p_c + h_c,35568.78667,27.4096,1297.6762400764696,
GPDDA2,0.0,g3pe_c + h2o_c --> etha_c + glyc3p_c + h_c,35568.78667,27.4096,1297.6762400764696,
PHETA1,0.0,akg_c + phe__L_c --> glu__L_c + phpyr_c,676971.0461,87.0756,7774.520601638118,
PPND,0.10332194483163641,nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c,142255.2,84.085,1691.8023428673364,
TRPS1,0.0,3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c,153427.8461,143.4143,1069.8225079367958,
PRAMPC,0.07087015117007488,h2o_c + prbamp_c --> prfp_c,15183.0,22.7558,667.2145123441056,
MCITL2,0.0,micit_c --> pyr_c + succ_c,259416.0,128.5386,2018.195312536468,
DXYLK,0.0,atp_c + dxyl_c --> adp_c + dxyl5p_c + h_c,,,,
MDH3,0.0,mal__L_c + mqn8_c --> mql8_c + oaa_c,1120270.93,60.2296,18600.006143158844,
SOTA,0.0,akg_c + sucorn_c --> glu__L_c + sucgsa_c,13440.0,87.3307,153.89777019994116,
SGSAD,0.0,h2o_c + nad_c + sucgsa_c --> 2.0 h_c + nadh_c + sucglu_c,,,,
PTA2,0.0,pi_c + ppcoa_c --> coa_c + ppap_c,1302064.364,463.0325,2812.0366583339182,
MDH2,1.5236256700745798e-10,mal__L_c + q8_c --> oaa_c + q8h2_c,1120270.93,60.2296,18600.006143158844,
ACOTA,0.0,acorn_c + akg_c --> acg5sa_c + glu__L_c,4266.0,44.7291,95.37415239743255,
GPDDA5,0.0,g3pi_c + h2o_c --> glyc3p_c + h_c + inost_c,,,,
PDX5PS,0.00016681842250128456,dxyl5p_c + nad_c + phthr_c --> co2_c + 2.0 h2o_c + h_c + nadh_c + pdx5p_c + pi_c,,,,
PPBNGS,0.0013345473800102764,2.0 5aop_c --> 2.0 h2o_c + h_c + ppbng_c,1827180.0,284.9983,6411.196136959414,
PPNCL2,0.0005041955908784423,4ppan_c + ctp_c + cys__L_c --> 4ppcys_c + cmp_c + h_c + ppi_c,6545.999999000002,521.2577,12.558087869013734,
PRAGSr,0.3351456914518301,atp_c + gly_c + pram_c --> adp_c + gar_c + h_c + pi_c,732024.0,45.9404,15934.210411750879,
PRFGS,0.3351456914518301,atp_c + fgam_c + gln__L_c + h2o_c --> adp_c + fpram_c + glu__L_c + h_c + pi_c,1798290.0,141.4027,12717.508222968867,
EX_acac_e,0.0,acac_e --> ,,,,
ETHAAL,0.0,etha_c --> acald_c + nh4_c,463839.3817,487.1078,952.2314807933686,
MAN1PT2,0.0,gdp_c + h_c + man1p_c --> gdpmann_c + pi_c,,,,
AP4AH,0.0,ap4a_c + h2o_c --> 2.0 adp_c + 2.0 h_c,202471.2,31.2967,6469.4105129294785,
AP5AH,0.0,ap5a_c + h2o_c --> adp_c + atp_c + 2.0 h_c,6239.999999000002,31.2967,199.3820434422799,
ADNCYC,0.0,atp_c --> camp_c + ppi_c,1870508.31,97.586,19167.793638431744,
MI1PP,0.0,h2o_c + mi1p__D_c --> inost_c + pi_c,14072.4,29.1721,482.3924228972203,
MCITS,0.0,h2o_c + oaa_c + ppcoa_c --> 2mcit_c + coa_c + h_c,52531.2,86.2044,609.3795676322785,
PPAKr,0.0,adp_c + ppap_c --> atp_c + ppa_c,347142.8571,43.3841,8001.614810495092,
NTP3,0.0,gtp_c + h2o_c --> gdp_c + h_c + pi_c,71491.83307000001,31.565,2264.9083817519404,
PPM2,0.0,2dr1p_c --> 2dr5p_c,381420.0,44.37,8596.348884381341,
MOAT2,0.014554346314730907,ckdo_c + kdolipid4_c --> cmp_c + h_c + kdo2lipid4_c,,,,
EX_adn_e,0.0,adn_e --> ,,,,
EX_ins_e,0.0,ins_e --> ,,,,
G6PDH2r,0.41711925481648227,g6p_c + nadp_c --> 6pgl_c + h_c + nadph_c,1595032.9409999999,55.7044,28633.877054595327,
NADH5,17.53117468110314,h_c + nadh_c + q8_c --> nad_c + q8h2_c,,,,
MOHMT,0.0005041955908784423,3mob_c + h2o_c + mlthf_c --> 2dhp_c + thf_c,2811.6,282.3744,9.956993268511594,
EX_glyc3p_e,0.0,glyc3p_e --> ,,,,
EX_lcts_e,0.0,lcts_e --> ,,,,
EX_nac_e,0.0,nac_e --> ,,,,
EX_ocdca_e,0.0,ocdca_e --> ,,,,
GMPS,0.1819502747450333,atp_c + nh4_c + xmp_c --> amp_c + gmp_c + 2.0 h_c + ppi_c,317886.9,117.3584,2708.6846787277264,
FTHFLi,0.0,atp_c + for_c + thf_c --> 10fthf_c + adp_c + pi_c,,,,
UDPGD,0.0,h2o_c + 2.0 nad_c + udpg_c --> 3.0 h_c + 2.0 nadh_c + udpglcur_c,93523.12942000001,87.3138,1071.1150977279653,
GLCRD,0.0,glcr_c --> 5dh4dglc_c + h2o_c,78345.81817,48.8496,1603.8169845812452,
PPPNDO,0.0,h_c + nadh_c + o2_c + pppn_c --> cechddd_c + nad_c,,,,
CHRPL,0.0001668184225012137,chor_c --> 4hbz_c + pyr_c,3122.64,18.7769,166.3022117601947,
TDPAGTA,0.0,dtdp4d6dg_c + glu__L_c --> akg_c + dtdp4addg_c,1368.0,167.6041,8.162091500148266,
UACMAMO,0.0,h2o_c + 2.0 nad_c + uacmam_c --> 3.0 h_c + 2.0 nadh_c + uacmamu_c,1440.0,91.6775,15.707234599547329,
FBA3,0.0,s17bp_c --> dhap_c + e4p_c,20255.4,78.2945,258.70782749746155,
PMPK,0.00016681842250128456,4ampm_c + atp_c --> 2mahmp_c + adp_c,272.0400012,114.5344,2.375181615305096,
LCADi,0.0,h2o_c + lald__L_c + nad_c --> 2.0 h_c + lac__L_c + nadh_c,316640.0,209.0912,1514.3631104513247,
ADK3,1.2648472019917378,amp_c + gtp_c --> adp_c + gdp_c,523137.6,23.586,22180.00508776393,
GLUDC,0.0,glu__L_c + h_c --> 4abut_c + co2_c,73786.41,316.0088,233.49479508165595,
BSORy,0.0,btnso_c + h_c + nadph_c --> btn_c + h2o_c + nadp_c,,,,
ADSK,0.18513254187203107,aps_c + atp_c --> adp_c + h_c + paps_c,155611.44,44.6426,3485.716333726082,
HSDy,0.0,hom__L_c + nadp_c --> aspsa_c + h_c + nadph_c,19245.6,177.7754,108.25794795005385,
CYSTL,0.11513538217755698,cyst__L_c + h2o_c --> hcys__L_c + nh4_c + pyr_c,34002.0,87.2837,389.5572712889119,
SHSL1,0.11513538217755698,cys__L_c + suchms_c --> cyst__L_c + h_c + succ_c,365432.7272,166.2016,2198.7317041472525,
SSALy,0.0,h2o_c + nadp_c + sucsal_c --> 2.0 h_c + nadph_c + succ_c,182752.9412,99.4357,1837.900685568664,
EX_dad_2_e,0.0,dad_2_e --> ,,,,
EX_ser__D_e,0.0,ser__D_e --> ,,,,
EX_gam6p_e,0.0,gam6p_e --> ,,,,
EX_15dap_e,-0.0,15dap_e --> ,,,,
EX_ocdcea_e,0.0,ocdcea_e --> ,,,,
EX_cynt_e,0.0,cynt_e --> ,,,,
EX_galctn__D_e,0.0,galctn__D_e --> ,,,,
EX_glyb_e,-0.0,glyb_e --> ,,,,
3HCINNMH,0.0,3hcinnm_c + h_c + nadh_c + o2_c --> dhcinnm_c + h2o_c + nad_c,,,,
BSORx,0.0,btnso_c + h_c + nadh_c --> btn_c + h2o_c + nad_c,,,,
NMNt7pp,0.0,h2o_c + nmn_p --> h_c + ncam_c + r5p_c,,,,
GLUtex,0.0,glu__L_e --> glu__L_p,,,,
GLYtex,0.0,gly_e --> gly_p,,,,
GLYALDtex,0.0,glyald_e --> glyald_p,,,,
GLYBtex,0.0,glyb_e --> glyb_p,,,,
GLYCtex,0.0,glyc_e --> glyc_p,,,,
GLYC3Ptex,0.0,glyc3p_e --> glyc3p_p,,,,
GLYCLTtex,0.0,glyclt_e --> glyclt_p,,,,
GTPtex,0.0,gtp_e --> gtp_p,,,,
GUAtex,0.0,gua_e --> gua_p,,,,
Htex,0.0,h_e --> h_p,,,,
H2tex,0.0,h2_e --> h2_p,,,,
H2Otex,0.0,h2o_e --> h2o_p,,,,
FACOAL160t2pp,0.0,atp_c + coa_c + h_p + hdca_p --> amp_c + h_c + pmtcoa_c + ppi_c,,,,
FACOAL180t2pp,0.0,atp_c + coa_c + h_p + ocdca_p --> amp_c + h_c + ppi_c + stcoa_c,,,,
SPODMpp,0.0,2.0 h_p + 2.0 o2s_p --> h2o2_p + o2_p,181871280.0,17.680999999999994,10286255.302301906,
NO3R1bpp,0.0,no3_p + q8h2_c --> h2o_p + no2_p + q8_c,,,,
O2tpp,27.698996353183084,o2_p --> o2_c,,,,
PHYTSpp,0.0,6.0 h2o_p + minohp_p --> inost_p + 6.0 pi_p,,,,
PPTHpp,0.0,h2o_p + ppt_p --> h2_p + pi_p,,,,
PYRt2rpp,0.0,h_p + pyr_p --> h_c + pyr_c,,,,
NO3R2pp,0.0,2.0 h_c + mql8_c + no3_c --> h2o_c + 2.0 h_p + mqn8_c + no2_c,,,,
NTP3pp,0.0,gtp_p + h2o_p --> gdp_p + h_p + pi_p,71491.83307000001,94.1137,759.6325834602188,
NO3R2bpp,0.0,mql8_c + no3_p --> h2o_p + mqn8_c + no2_p,,,,
THD2pp,0.0,2.0 h_p + nadh_c + nadp_c --> 2.0 h_c + nad_c + nadph_c,912480.0001,206.6929,4414.665429243094,
TMAOR1pp,0.0,h_p + mql8_c + tmao_p --> h2o_p + mqn8_c + tma_p,,,,
TMAOR2pp,0.0,2dmmql8_c + h_p + tmao_p --> 2dmmq8_c + h2o_p + tma_p,,,,
XANtpp,0.0,xan_p --> xan_c,,,,
DAPtex,0.0,15dap_e --> 15dap_p,,,,
12PPDStex,0.0,12ppd__S_e --> 12ppd__S_p,,,,
DDGLCNtex,0.0,2ddglcn_e --> 2ddglcn_p,,,,
26DAHtex,0.0,26dap__M_e --> 26dap__M_p,,,,
HCINNMtex,0.0,3hcinnm_e --> 3hcinnm_p,,,,
HPPPNtex,0.0,3hpppn_e --> 3hpppn_p,,,,
ACtex,0.0,ac_e --> ac_p,,,,
ACALDtex,0.0,acald_e --> acald_p,,,,
ACMANAtex,0.0,acmana_e --> acmana_p,,,,
ACMUMtex,0.0,acmum_e --> acmum_p,,,,
ACACT7r,0.1125298729149024,accoa_c + tdcoa_c --> 3ohdcoa_c + coa_c,1200988584.0,46.5305,25810781.83127196,
PSP_L,1.2441662059896261,h2o_c + pser__L_c --> pi_c + ser__L_c,600507.702,35.0427,17136.456437432047,
ACACT2r,0.26622125650115314,accoa_c + btcoa_c --> 3ohcoa_c + coa_c,1200988584.0,46.5305,25810781.83127196,
ACACT3r,0.26622125650115314,accoa_c + hxcoa_c --> 3oocoa_c + coa_c,1200988584.0,46.5305,25810781.83127196,
ACACT4r,0.26622125650115314,accoa_c + occoa_c --> 3odcoa_c + coa_c,1200988584.0,46.5305,25810781.83127196,
SUCCt2_2pp,0.0,2.0 h_p + succ_p --> 2.0 h_c + succ_c,,,,
SUCFUMtpp,0.0,fum_p + succ_c --> fum_c + succ_p,,,,
SUCptspp,0.0,pep_c + sucr_p --> pyr_c + suc6p_c,,,,
SULabcpp,0.0,atp_c + h2o_c + so4_p --> adp_c + h_c + pi_c + so4_c,,,,
TSULabcpp,0.0,atp_c + h2o_c + tsul_p --> adp_c + h_c + pi_c + tsul_c,,,,
TARTRt7pp,0.0,succ_c + tartr__L_p --> succ_p + tartr__L_c,,,,
AHGDx,0.0,S2hglut_c + nad_c --> akg_c + h_c + nadh_c,40147.99999,176.7031,227.20597425851608,
TAURabcpp,0.0,atp_c + h2o_c + taur_p --> adp_c + h_c + pi_c + taur_c,,,,
THMDt2pp_copy1,0.0,h_p + thymd_p --> h_c + thymd_c,,,,
EX_ca2_e,0.0,ca2_e --> ,,,,
EX_so3_e,-0.0,so3_e --> ,,,,
Kt2pp,0.14601698808651675,h_p + k_p --> h_c + k_c,,,,
AKGt2rpp,0.0,akg_p + h_p --> akg_c + h_c,,,,
XYLt2pp,0.0,h_p + xyl__D_p --> h_c + xyl__D_c,,,,
EX_ascb__L_e,0.0,ascb__L_e --> ,,,,
EX_ala_B_e,0.0,ala_B_e --> ,,,,
EX_agm_e,0.0,agm_e --> ,,,,
EX_minohp_e,0.0,minohp_e --> ,,,,
EX_ppt_e,0.0,ppt_e --> ,,,,
EX_hxa_e,0.0,hxa_e --> ,,,,
EX_lyx__L_e,0.0,lyx__L_e --> ,,,,
EX_acmum_e,0.0,acmum_e --> ,,,,
EX_dca_e,0.0,dca_e --> ,,,,
EX_all__D_e,0.0,all__D_e --> ,,,,
EX_octa_e,0.0,octa_e --> ,,,,
EX_xylu__L_e,0.0,xylu__L_e --> ,,,,
EX_gdp_e,0.0,gdp_e --> ,,,,
EX_gtp_e,-0.0,gtp_e --> ,,,,
THMabcpp,0.0,atp_c + h2o_c + thm_p --> adp_c + h_c + pi_c + thm_c,,,,
THMDt2pp_copy2,0.0,h_p + thymd_p --> h_c + thymd_c,,,,
THRabcpp,0.0,atp_c + h2o_c + thr__L_p --> adp_c + h_c + pi_c + thr__L_c,,,,
TREptspp,0.0,pep_c + tre_p --> pyr_c + tre6p_c,,,,
TRPt2rpp,0.0,h_p + trp__L_p --> h_c + trp__L_c,,,,
TYRt2rpp,0.0,h_p + tyr__L_p --> h_c + tyr__L_c,,,,
URIt2pp_copy1,0.0,h_p + uri_p --> h_c + uri_c,,,,
URIt2pp_copy2,0.0,h_p + uri_p --> h_c + uri_c,,,,
VALabcpp,0.0,atp_c + h2o_c + val__L_p --> adp_c + h_c + pi_c + val__L_c,,,,
XTSNt2rpp,0.0,h_p + xtsn_p --> h_c + xtsn_c,,,,
XYLabcpp,0.0,atp_c + h2o_c + xyl__D_p --> adp_c + h_c + pi_c + xyl__D_c,,,,
XYLUt2pp,0.0,h_p + xylu__L_p --> h_c + xylu__L_c,,,,
THRt4pp,0.0,na1_p + thr__L_p --> na1_c + thr__L_c,,,,
EX_fruur_e,0.0,fruur_e --> ,,,,
GALtex,0.0,gal_e --> gal_p,,,,
GALCTtex,0.0,galct__D_e --> galct__D_p,,,,
GALCTNtex,0.0,galctn__D_e --> galctn__D_p,,,,
GALTtex,0.0,galt_e --> galt_p,,,,
GALURtex,0.0,galur_e --> galur_p,,,,
GTPCI,0.0005004552675038786,gtp_c + h2o_c --> ahdt_c + for_c + h_c,51908.11999,248.3062,209.04882757659698,
FDMO,0.0,fmnh2_c + isetac_c + o2_c --> fmn_c + gcald_c + h2o_c + h_c + so3_c,2963.9999989999997,166.9451,17.754339594273805,
FEOXAMabcpp,0.0,atp_c + feoxam_p + h2o_c --> adp_c + feoxam_c + h_c + pi_c,,,,
CBL1abcpp,0.0,atp_c + cbl1_p + h2o_c --> adp_c + cbl1_c + h_c + pi_c,3042.0,153.4278,19.826915330859208,
ACACt2pp,0.0,acac_p + h_p --> acac_c + h_c,,,,
ACGAptspp,0.0,acgam_p + pep_c --> acgam6p_c + pyr_c,,,,
ACMANAptspp,0.0,acmana_p + pep_c --> acmanap_c + pyr_c,,,,
ACNAMt2pp,0.0,acnam_p + h_p --> acnam_c + h_c,,,,
CHOLD,0.0,chol_c + nad_c --> betald_c + h_c + nadh_c,348103.0588,61.8776,5625.671629151746,
DRPA,0.0,2dr5p_c --> acald_c + g3p_c,387265.32,27.7338,13963.658784587758,
TKT2,0.0,e4p_c + xu5p__D_c --> f6p_c + g3p_c,44816115.1,73.0427,613560.494067169,
EX_ch4_e,-0.0,ch4_e --> ,,,,
FEENTERabcpp,0.0,atp_c + feenter_p + h2o_c --> adp_c + feenter_c + h_c + pi_c,,,,
FECRMabcpp,0.0,atp_c + fecrm_p + h2o_c --> adp_c + fecrm_c + h_c + pi_c,,,,
GAMtex,0.0,gam_e --> gam_p,,,,
GBBTNtex,0.0,gbbtn_e --> gbbtn_p,,,,
ARBt2rpp,0.0,arab__L_p + h_p --> arab__L_c + h_c,,,,
DAPabcpp,0.0,26dap__M_p + atp_c + h2o_c --> 26dap__M_c + adp_c + h_c + pi_c,,,,
CO2tpp,0.0,co2_p --> co2_c,,,,
DHAtpp,0.0,dha_p --> dha_c,,,,
DMSOR1pp,0.0,dmso_p + mql8_c --> dms_p + h2o_p + mqn8_c,,,,
ARGabcpp,0.0,arg__L_p + atp_c + h2o_c --> adp_c + arg__L_c + h_c + pi_c,,,,
ARGAGMt7pp,0.0,agm_c + arg__L_p --> agm_p + arg__L_c,,,,
ASCBptspp,0.0,ascb__L_p + pep_c --> ascb6p_c + pyr_c,,,,
ASNt2rpp,0.0,asn__L_p + h_p --> asn__L_c + h_c,,,,
ASPabcpp,0.0,asp__L_p + atp_c + h2o_c --> adp_c + asp__L_c + h_c + pi_c,,,,
ASPt2pp,0.0,asp__L_p + h_p --> asp__L_c + h_c,,,,
ASPt2_2pp,0.0,asp__L_p + 2.0 h_p --> asp__L_c + 2.0 h_c,,,,
ASPt2_3pp,0.0,asp__L_p + 3.0 h_p --> asp__L_c + 3.0 h_c,,,,
HIStex,0.0,his__L_e --> his__L_p,,,,
HXAtex,0.0,hxa_e --> hxa_p,,,,
HYXNtex,0.0,hxan_e --> hxan_p,,,,
IDONtex,0.0,idon__L_e --> idon__L_p,,,,
ILEtex,0.0,ile__L_e --> ile__L_p,,,,
INSTtex,0.0,inost_e --> inost_p,,,,
INStex,0.0,ins_e --> ins_p,,,,
Ktex,0.14601698808651675,k_e --> k_p,,,,
D_LACtex,0.0,lac__D_e --> lac__D_p,,,,
NTD8pp,0.0,dgmp_p + h2o_p --> dgsn_p + pi_p,290100.0,60.824,4769.498882020255,
FRULYStex,0.0,frulys_e --> frulys_p,,,,
EX_fad_e,-0.0,fad_e --> ,,,,
GALCTt2rpp,0.0,galct__D_p + h_p --> galct__D_c + h_c,,,,
GALt2pp,0.0,gal_p + h_p --> gal_c + h_c,,,,
ASPtex,0.0,asp__L_e --> asp__L_p,,,,
ABUTt2pp,0.0,4abut_p + h_p --> 4abut_c + h_c,,,,
CYSabcpp,0.0,atp_c + cys__L_p + h2o_c --> adp_c + cys__L_c + h_c + pi_c,,,,
SBTptspp,0.0,pep_c + sbt__D_p --> pyr_c + sbt6p_c,,,,
TREHpp,0.0,h2o_p + tre_p --> 2.0 glc__D_p,1125766.8,63.6367,17690.5276357825,
CYTBDpp,0.0,2.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.0 h_p + q8_c,,,,
CYTBD2pp,0.0,2.0 h_c + mql8_c + 0.5 o2_c --> h2o_c + 2.0 h_p + mqn8_c,,,,
ACALDtpp,0.0,acald_p --> acald_c,,,,
ACt2rpp,0.0,ac_p + h_p --> ac_c + h_c,,,,
EX_fe3dcit_e,0.0,fe3dcit_e --> ,,,,
EX_fe3hox_e,-0.0,fe3hox_e --> ,,,,
EX_fecrm_e,0.0,fecrm_e --> ,,,,
EX_feenter_e,-0.0,feenter_e --> ,,,,
EX_feoxam_e,-0.0,feoxam_e --> ,,,,
EX_cbi_e,-0.0,cbi_e --> ,,,,
EX_arbtn_fe3_e,0.0,arbtn_fe3_e --> ,,,,
EX_cpgn_e,-0.0,cpgn_e --> ,,,,
EX_adocbl_e,-0.0,adocbl_e --> ,,,,
ATPS4rpp,66.39457432266795,adp_c + 4.0 h_p + pi_c --> atp_c + h2o_c + 3.0 h_c,1404000.0,530.0127,2648.99312790052,BRENDA
INDOLEtex,0.0,indole_e --> indole_p,,,,
L_LACtex,0.0,lac__L_e --> lac__L_p,,,,
ACt4pp,0.0038936766328214628,ac_p + na1_p --> ac_c + na1_c,,,,
ADEt2rpp,0.0,ade_p + h_p --> ade_c + h_c,,,,
ADNt2pp_copy1,0.0,adn_p + h_p --> adn_c + h_c,,,,
ADNt2pp_copy2,0.0,adn_p + h_p --> adn_c + h_c,,,,
ALAabcpp,0.0,ala__L_p + atp_c + h2o_c --> adp_c + ala__L_c + h_c + pi_c,,,,
ALLabcpp,0.0,all__D_p + atp_c + h2o_c --> adp_c + all__D_c + h_c + pi_c,,,,
ALLTNt2rpp,0.0,alltn_p + h_p --> alltn_c + h_c,,,,
ARBabcpp,0.0,arab__L_p + atp_c + h2o_c --> adp_c + arab__L_c + h_c + pi_c,,,,
ECOAH8,0.0,3hodcoa_c --> h2o_c + od2coa_c,4002840.0,77.0722,51936.23641209152,
GLCDpp,0.0,glc__D_p + h2o_p + q8_c --> glcn_p + h_p + q8h2_c,,,,
GUAtpp,0.0,gua_p --> gua_c,,,,
HYD2pp,0.0,h2_c + 2.0 h_c + mqn8_c --> 2.0 h_p + mql8_c,,,,
HYXNtpp,0.0,hxan_p --> hxan_c,,,,
NACtpp,0.0,nac_p --> nac_c,,,,
FE3DCITabcpp,0.0,atp_c + fe3dcit_p + h2o_c --> adp_c + 2.0 cit_c + fe3_c + h_c + pi_c,,,,
CPGNtonex,0.0,cpgn_e + h_p --> cpgn_p + h_c,,,,
GLCRtex,0.0,glcr_e --> glcr_p,,,,
GLCNtex,0.0,glcn_e --> glcn_p,,,,
GLCURtex,0.0,glcur_e --> glcur_p,,,,
GLNtex,0.0,gln__L_e --> gln__L_p,,,,
O2tex,27.698996353183084,o2_e --> o2_p,,,,
EX_ppa_e,0.0,ppa_e --> ,,,,
OCTAtex,0.0,octa_e --> octa_p,,,,
ORNtex,0.0,orn_e --> orn_p,,,,
ECOAH5,0.26622125650115314,3hddcoa_c --> dd2coa_c + h2o_c,4002840.0,77.0722,51936.23641209152,
DHFS,0.0005004552675038786,atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c,145659.744,45.4057,3207.961643582193,
CITt7pp,0.0,cit_p + succ_c --> cit_c + succ_p,,,,
CRNt7pp,0.0,crn_p + gbbtn_c --> crn_c + gbbtn_p,,,,
EX_ni2_e,0.0,ni2_e --> ,,,,
EX_no_e,0.0,no_e --> ,,,,
CHLabcpp,0.0,atp_c + chol_p + h2o_c --> adp_c + chol_c + h_c + pi_c,,,,
DGSNt2pp,0.0,dgsn_p + h_p --> dgsn_c + h_c,,,,
DINSt2pp,0.0,din_p + h_p --> din_c + h_c,,,,
DURIt2pp,0.0,duri_p + h_p --> duri_c + h_c,,,,
FE2abcpp,0.0,atp_c + fe2_p + h2o_c --> adp_c + fe2_c + h_c + pi_c,,,,
FRUptspp,0.0,fru_p + pep_c --> f1p_c + pyr_c,,,,
FUCtpp,0.0,fuc__L_p + h_p --> fuc__L_c + h_c,,,,
FUMt2_2pp,0.0,fum_p + 2.0 h_p --> fum_c + 2.0 h_c,,,,
FUMt2_3pp,0.0,fum_p + 3.0 h_p --> fum_c + 3.0 h_c,,,,
FEENTERtonex,0.0,feenter_e + h_p --> feenter_p + h_c,,,,
CSNt2pp,0.0,csn_p + h_p --> csn_c + h_c,,,,
CYNTt2pp,0.0,cynt_p + h_p --> cynt_c + h_c,,,,
CYTDt2pp_copy1,0.0,cytd_p + h_p --> cytd_c + h_c,,,,
CYTDt2pp_copy2,0.0,cytd_p + h_p --> cytd_c + h_c,,,,
DADNt2pp,0.0,dad_2_p + h_p --> dad_2_c + h_c,,,,
DCYTt2pp,0.0,dcyt_p + h_p --> dcyt_c + h_c,,,,
DDGLCNt2rpp,0.0,2ddglcn_p + h_p --> 2ddglcn_c + h_c,,,,
RMNtex,0.0,rmn_e --> rmn_p,,,,
EX_meoh_e,1.4961293497873053e-06,meoh_e --> ,,,,
MALTTRtexi,0.0,malttr_e --> malttr_p,,,,
MALTTTRtexi,0.0,maltttr_e --> maltttr_p,,,,
MALTPTtexi,0.0,maltpt_e --> maltpt_p,,,,
MALTtexi,0.0,malt_e --> malt_p,,,,
GLCtex_copy1,10.0,glc__D_e --> glc__D_p,,,,
FE3DCITtonex,0.0,fe3dcit_e + h_p --> fe3dcit_p + h_c,,,,
PHEtex,0.0,phe__L_e --> phe__L_p,,,,
PItex,0.7215876737904803,pi_e --> pi_p,,,,
ACGAMK,0.0,acgam_c + atp_c --> acgam6p_c + adp_c + h_c,37204.74,33.0427,1125.9594403605029,
METS,0.11547051515190912,5mthf_c + hcys__L_c --> h_c + met__L_c + thf_c,613235.0401,84.6735,7242.3490241929285,
EX_cu2_e,0.0,cu2_e --> ,,,,
CYSabc2pp,0.0,atp_c + cys__L_c + h2o_c --> adp_c + cys__L_p + h_c + pi_c,,,,
PRASCSi,0.3349788730293288,5aizc_c + asp__L_c + atp_c --> 25aics_c + adp_c + h_c + pi_c,,,,
TRSARr,0.0,2h3oppan_c + h_c + nadh_c --> glyc__R_c + nad_c,874800.0,30.4274,28750.40259765868,
LYXI,0.0,lyx__L_c --> xylu__L_c,,,,
EX_pheme_e,0.0,pheme_e --> ,,,,
PNTOtex,0.0,pnto__R_e --> pnto__R_p,,,,
PPPNtex,0.0,pppn_e --> pppn_p,,,,
PPTtex,0.0,ppt_e --> ppt_p,,,,
PTRCtex,0.0,ptrc_e --> ptrc_p,,,,
PYRtex,0.0,pyr_e --> pyr_p,,,,
DSERtex,0.0,ser__D_e --> ser__D_p,,,,
SERtex,0.0,ser__L_e --> ser__L_p,,,,
SO4tex,0.18837764643171973,so4_e --> so4_p,,,,
SPMDtex,0.0,spmd_e --> spmd_p,,,,
SUCCtex,0.0,succ_e --> succ_p,,,,
SUCRtex,0.0,sucr_e --> sucr_p,,,,
TARTRtex,0.0,tartr__L_e --> tartr__L_p,,,,
TAURtex,0.0,taur_e --> taur_p,,,,
THRtex,0.0,thr__L_e --> thr__L_p,,,,
THMDtex,0.0,thymd_e --> thymd_p,,,,
CBIuabcpp,0.0,atp_c + cbi_p + h2o_c --> adp_c + cbi_c + h_c + pi_c,3042.0,153.4278,19.826915330859208,
METDtex,0.0,met__D_e --> met__D_p,,,,
METtex,0.0,met__L_e --> met__L_p,,,,
MNLtex,0.0,mnl_e --> mnl_p,,,,
NAtex,0.0,na1_e --> na1_p,,,,
NACtex,0.0,nac_e --> nac_p,,,,
NH4tex,8.079034903354088,nh4_e --> nh4_p,,,,
URIH,0.0,h2o_c + uri_c --> rib__D_c + ura_c,22102.0,32.5608,678.7916758801995,
XTSNH,0.0,h2o_c + xtsn_c --> rib__D_c + xan_c,36206.74285,32.5608,1111.973380568045,
INSH,0.0,h2o_c + ins_c --> hxan_c + rib__D_c,66220.40002,32.5608,2033.7461002186678,
BUTtex,0.0,but_e --> but_p,,,,
CHLtex,0.0,chol_e --> chol_p,,,,
CO2tex,0.0,co2_e --> co2_p,,,,
CRNtex,0.0,crn_e --> crn_p,,,,
PPK2,0.0,atp_c + ppi_c --> adp_c + pppi_c,,,,
DINStex,0.0,din_e --> din_p,,,,
DMStex,0.0,dms_e --> dms_p,,,,
CSNtex,0.0,csn_e --> csn_p,,,,
CYNTtex,0.0,cynt_e --> cynt_p,,,,
CYStex,0.0,cys__L_e --> cys__L_p,,,,
CYTDtex,0.0,cytd_e --> cytd_p,,,,
