,smoment_no_adj_kcat,smoment_adj_kcat,kcat_in_vitro,kapp,kcat_GO
GTHS,21.66692308,21.66692308,11.53665755,11.84707388,11.53665755
MANAO,,,15.07352832,11.81949428,15.07352832
AB6PGH,25.36056522,25.36056522,44.65734048,11.80473928,44.65734047
ACOAD1fr,,,33.48466093,11.79462514,33.48466092
TREHpp,312.713,312.713,199,11.77772642,199
AP5AH,1.733333333,1.733333333,36.79500917,11.7386909,36.79500917
TMAOR2,,,15.42834102,11.72367479,15.42834102
UMPK,170.7966667,165.4607279,32.66465702,11.6736167,32.66465703
ACACT4r,333607.94,333607.94,6.5,11.6573739,6.5
LDH_D,516.1,469.4039648,21.89701574,11.64440035,21.89701574
FRULYSDG,,,29.20661638,11.56959934,29.20661639
HACD1_reverse,1379.303195,1379.303195,22.60786857,11.56198155,22.60786857
ECOAH4,1111.9,1111.9,18.13495726,11.56079773,18.13495726
FE3Ri,,,44.46064127,11.54654884,44.46064128
NNATr_reverse,10.85057787,10.85057787,12.48114565,11.48591784,12.48114564
LPLIPAL2ATG160,,,11.65707427,11.43691638,11.65707427
GPDDA2pp,9.880218519,9.880218519,32.06877211,11.43396367,32.06877211
GPDDA4pp,2.0446,2.0446,3.3,11.42896123,3.3
3OAR80_reverse,87.99916207,85.49145213,28.53218469,11.40624819,28.53218469
CU1Opp,,,17.4334079,11.36115981,17.4334079
MLTG4,130.5025,130.5025,55.22200294,11.3495498,55.22200294
ACACT6r,333607.94,333607.94,6.5,11.28688685,6.5
GDPDPK,15.12166667,15.12166667,7.647885929,11.20288304,7.647885928
TARTD,,,18.68447153,11.18651886,18.68447153
HACD5,1379.303195,1379.303195,20.76202739,11.16922213,20.76202739
FRD3,,,11.90949597,11.14876269,11.90949597
GARFT_reverse,6.3756,6.3756,13.90125632,11.12565211,13.90125632
ACPPAT161,,,10.03394021,11.11300159,10.03394021
FRD2,,1047.239787,12.80541175,11.02928167,12.80541175
HACD2_reverse,1379.303195,1379.303195,22.47935531,11.02858591,22.47935531
DHDPS,,8.005784645,124,11,124
ARGSL,230.4774444,218.8514768,32.78755098,11,32.78755097
CTPS2,4.635323529,4.692220947,5,11,5
HACD3,1379.303195,1379.303195,21.12990873,10.99818089,21.12990873
HCYSMT,249.949375,249.949375,0.38,10.98404096,0.38
PGPP120pp,24,24,60.01947562,10.97279327,60.01947561
3NTD9pp,27.41375,27.41375,18.26008491,10.96377223,18.26008491
MAN6PI,17196.606,17196.606,50.01894047,10.96170388,50.01894047
6D6SPA,,,21.77950977,10.95626665,21.77950977
CRNCDH,,,28.29352951,10.95447777,28.2935295
PPK2,,,12.0173329,10.84389738,12.0173329
HACD2,1379.303195,1379.303195,20.64233023,10.84309504,20.64233023
ECOAH3_reverse,1111.9,1111.9,15.59892471,10.82819378,15.59892471
APG3PAT140,,,18.14284513,10.80176685,18.14284513
ASCBPL,,,17.94528015,10.79076543,17.94528015
HACD1,2416.318524,2416.318524,21.10293274,10.77239398,21.10293274
ABUTD,13.60071429,13.60071429,5.65,10.75112363,5.65
DHORD5,,44.40705018,18.65972628,10.7381039,18.65972628
PSD120,,,16.88961177,10.73651899,16.88961177
MCITL2,72.06,72.06,19,10.72467239,19
HACD4,1379.303195,1379.303195,21.16455669,10.7089956,21.16455669
PRMICI_reverse,7.91625,7.91625,8.693314301,10.69088608,8.6933143
FCI,0.1055,0.1055,15.63495222,10.68312115,15.63495222
INSK,,,10.44620914,10.67403887,10.44620914
HKNDDH,4.018,4.018,21.12210759,10.65655028,21.12210759
AGMHE,,,19.58206555,10.65177626,19.58206555
DURADx,0.49,0.49,0.64,10.6308634,0.64
MLDCP1Bpp,160,160,18.6345835,10.61323208,18.63458351
PHYTSpp,,,6931,10.6107535,6931
ADA,36.59083333,36.59083333,24.79653616,10.59945335,24.79653616
G1SAT_reverse,0.51,0.51,11.44341455,10.59586604,11.44341455
ARAI_reverse,37.31373639,37.31373639,24.37474322,10.53428759,24.37474321
DXYLK,,,235,10.48583671,235
AGM4Pt2pp,,,12.87996552,10.46613643,12.87996552
OMBZLM,,,38.10023061,10.46260389,38.10023061
MCITD,,,21.63782484,10.40497629,21.63782484
GPDDA1pp,9.880218519,9.880218519,35.81786257,10.40266697,35.81786258
BGLA1,,,19.47962288,10.39058949,19.47962288
FORCT,4.525,4.525,13.35405191,10.37507599,13.35405191
4PCPpp,,,13.46493372,10.35827099,13.46493372
DHORTS,65.26363636,61.12557948,1.9,10.35162051,1.9
DSBDR,,,24.276571,10.33359618,24.276571
XYLI2,20.08876471,20.08876471,11.40763051,10.32392297,11.40763051
DADA,27.33535088,27.33535088,24.60104589,10.31586114,24.60104589
DHMPTR,,,24.72382599,10.30562004,24.72382599
CBMKr,300.6,300.6,36.73666319,10.2913319,36.73666319
ECOAH7,1111.9,1111.9,15.50464537,10.28350892,15.50464537
ACACT3r_reverse,333607.94,333607.94,12.75613504,10.26667017,12.75613504
ALR2x,,,27.35648191,10.26578375,27.35648191
ULA4Ntppi,,,18.51974193,10.24053668,18.51974193
HACD3_reverse,1379.303195,1379.303195,21.80671527,10.22618451,21.80671527
PAPA120,,,63.69151778,10.22361202,63.69151778
GPDDA3pp,2.0446,2.0446,2.8,10.19613003,2.8
GHMT2r_reverse,53.86571429,50.36135832,10.7,10.17780726,10.7
ACPPAT141,,,8.921319926,10.16862055,8.921319925
ECOAH6,1111.9,1111.9,17.67402997,10.16499458,17.67402997
GLYCL,156.3823529,149.3619428,11.52325086,10.15064261,11.52325086
ACACT7r,333607.94,333607.94,6.5,10.10826286,6.5
PTRCTA,,,18.4393368,10.03494286,18.4393368
INSH,18.39455556,18.39455556,0.086,10.03087639,0.086
MOADSUx,,3.528858533,8.931341709,10.01182148,8.931341708
PGAMT,1.5664,1.541797044,7.9,10.00985386,7.9
TRDR,16.17728395,16.17728395,29.56874319,10.00678913,29.56874319
SHSL1,101.5090909,93.36851307,166,10,166
KDOPP,0.5905,0.5905,34.80323389,10,34.80323389
IMPC_reverse,8.6,6.838281569,23.39098894,10,23.39098894
IPPS,3.0298,3.100280388,23.10539391,10,23.10539391
AICART,,,18.98893786,10,18.98893786
ADSL1r,123.31,113.3067769,14.70497338,10,14.70497338
PRAIS,,,14.00242063,10,14.00242063
PRMICI,7.91625,7.91625,12.25357851,10,12.25357851
ORNDC,78.94615385,78.94615385,27.55872578,9.929259783,27.55872578
TRPS3,23.711474,23.25537391,0.005,9.927752005,0.5
ACACT5r_reverse,333607.94,333607.94,11.69298027,9.861588365,11.69298027
HPPPNDO,22.72,22.72,17.42489718,9.85891683,17.42489718
3HAD60,9.952411111,10.10061405,50.04590679,9.831729115,50.04590678
ACACT3r,333607.94,333607.94,6.5,9.831718468,6.5
MCITS,14.592,14.592,12.38716325,9.79026087,12.38716325
PRCPD,,,14.55090781,9.777971328,14.55090781
DSBCGT,,,16.95538053,9.749504698,16.95538053
AGMT,1.516,1.516,40.83926629,9.707804788,40.83926628
RMI,149.81,149.81,15.21600913,9.691381993,15.21600913
GUI2,67.86666667,67.86666667,13.99953969,9.679179662,13.99953969
ASPCT,103.2683333,94.18702314,417,9.664416043,417
RNTR3c2,,,12.57119801,9.632539186,12.57119801
FA160ACPHi,3.282793103,3.282793103,39.11328874,9.631425669,39.11328875
G1PPpp,73.16666667,73.16666667,117,9.611267355,117
ACACT4r_reverse,333607.94,333607.94,16.53611214,9.598577007,16.53611214
NODOx,184.4153846,184.4153846,26.77130877,9.594578882,26.77130877
CINNDO,,,12.50632024,9.592177034,12.50632024
UACMAMO,0.4,0.4,31.07428341,9.587981433,31.07428342
ECOAH4_reverse,1111.9,1111.9,14.7850365,9.55276248,14.7850365
HACD7,1379.303195,1379.303195,20.45477538,9.545303339,20.45477538
FBA_reverse,5.6265,6.109084507,20.78796453,9.535092534,20.78796453
AGMt2pp,,,21.68867308,9.49592118,21.68867308
AGM4PCPpp,,,14.95251953,9.473615716,14.95251953
NDP3,575.8477037,575.8477037,13.98918615,9.472630686,13.98918615
RHAT1,,,22.74726032,9.44511707,22.74726032
DAPAL,60.18992308,60.18992308,58.6,9.426004076,58.6
RMK,,,22.83688341,9.420268443,22.83688341
MALTATr,,,15.92284488,9.404854128,15.92284488
ABTA,19.74764286,19.74764286,47.4,9.403881525,47.4
NDP7,508.0528642,508.0528642,30.77368184,9.367113716,30.77368183
2AGPEAT140,,,6.886996922,9.362465558,6.886996922
CDAPPA160,,,29.2495268,9.308723783,29.24952681
CLPNS160pp,,,10.58546371,9.30127688,10.58546371
QMO3,,,51.84360219,9.291055768,51.84360219
A5PISO_reverse,118.0384615,118.0384615,10.5,9.216719552,10.5
MDDEP3pp,,,17.57322133,9.197662834,17.57322133
PAPA140,,,95.17451439,9.168376737,95.17451439
PAPSR,0.610888889,0.610888889,37.72157848,9.152869436,37.72157847
FDH4pp,,,15.43405836,9.126110415,15.43405836
HCO3E,3374976.471,3374976.471,20.93195094,9.1,20.93195094
PUNP7_reverse,537.5828571,537.5828571,2.01,9.084258964,2.01
ACOTA_reverse,1.185,1.570415529,12.10379399,9.062605155,12.10379399
S7PI,11.34666667,11.34666667,14.91739579,9.037410334,14.91739579
AMAOTr_reverse,83.45902778,83.45902778,11.00765768,9.034267024,11.00765768
DMSOR1pp,,,9.135237423,9.010367154,9.135237422
PPM_reverse,81.38214286,81.38214286,13.35472075,9.006458972,13.35472074
SPMDAT1,0.9943,0.9943,25.23523365,9.000458571,25.23523365
UPLA4FNT,,,12.33975821,8.995668078,12.33975821
CDAPPA181,,,43.18696143,8.981275881,43.18696144
CHOLD,96.69529412,96.69529412,23.71026852,8.980995234,23.71026852
CLPNS141pp,,,16.74082658,8.970855033,16.74082658
IG3PS,,,13.73405688,8.962926583,13.73405688
3SLAR,,,29.17601751,8.934188811,29.1760175
ACOATA,0.044333333,1.966533627,12.95205462,8.930385847,12.95205462
AMALT4,129.5747692,129.5747692,10.76222198,8.896924698,10.76222198
ACS,575.3611111,575.3611111,7.624942837,8.896892036,7.624942836
PHDA,,,33.37638024,8.895889017,33.37638025
DURIPP,30.03384615,30.03384615,2.01,8.86673122,2.01
CDAPPA120,,,32.81218528,8.861246596,32.81218528
ADNCYC,519.5856417,519.5856417,1.67,8.844011266,1.67
GLDBRAN2,500.075,500.075,42.07108257,8.80450904,42.07108258
VALTA_reverse,18.55055556,18.24573622,36.29721348,8.8,36.29721347
MLTGY1pp,,,24.65820663,8.799322183,24.65820663
HACD4_reverse,1379.303195,1379.303195,20.81441919,8.768110564,20.81441919
NNDMBRT,37.924,37.924,14.81264478,8.765858788,14.81264478
HEX7,641.874,641.874,14,8.758599592,14
HACD6,1379.303195,1379.303195,20.72065213,8.746473264,20.72065213
SQGH,,,17.48972328,8.718471026,17.48972328
TRE6PH,15.33285714,15.33285714,19.39907839,8.713354018,19.39907839
TGBPA,7.384583334,7.384583334,0.015,8.711879967,0.015
4ABZGLUH_reverse,,,13.0768799,8.674030069,13.0768799
ECOAH5_reverse,1111.9,1111.9,14.70321515,8.65628836,14.70321515
PHETA1_reverse,176.6586667,165.9616728,14.88153891,8.613295518,14.88153891
SSALy,50.76470588,50.76470588,36.40172279,8.563868875,36.40172281
LALDO2x,212327.36,212327.36,15.78590212,8.55778994,15.78590212
COLIPAKpp,,,24.48702122,8.545413742,24.48702122
NTP5,0.635,0.635,15.80448165,8.519864733,15.80448165
TEO2M,,,15.42981104,8.490210487,15.42981104
THFAT,15.39166667,13.37862498,22.31318469,8.485229017,22.31318469
NADPHQR3,,,25.1971834,8.480081447,25.1971834
HXCT,290,290,11.65126816,8.4704467,11.65126816
TMDPP,144.0822222,144.0822222,1770,8.466389062,1770
ACACT8r_reverse,,,17.37123264,8.442715508,17.37123264
ICDHyr_reverse,79.71479008,78.32684261,106.4,8.435784117,106.4
LA4NTpp,,,16.79935157,8.42641922,16.79935157
ACGK,63.46666667,57.86575438,38.60410137,8.4,38.60410136
HACD8,1379.303195,1379.303195,12.11124138,8.383681576,12.11124138
AICART_reverse,,,11.3266576,8.369414507,11.3266576
RNTR2c2,,,16.48279709,8.364206797,16.48279709
F1PP,,,48.85965734,8.362900571,48.85965733
SCYSDS,,,12.27331874,8.350280733,12.27331874
CDAPPA141,,,16.79615018,8.34998445,16.79615019
INOSTO,1.906166667,1.906166667,19.61618164,8.34160632,19.61618164
MDDEP1pp,,,19.83227136,8.338995281,19.83227136
ACACT6r_reverse,333607.94,333607.94,11.59743867,8.327861479,11.59743867
PPK,,,14.39510113,8.321815952,14.39510113
FDH5pp,,,15.61894081,8.311824015,15.61894081
ASAD,229.5555556,217.5807878,17.79283218,8.310371781,17.79283218
MLDEP2pp,,,16.39366402,8.30425422,16.39366402
PSERT,1.07125,1.47684005,13.31756158,8.3,13.31756158
CTECOAI8,95.42728814,95.42728814,9.201376258,8.295056557,9.201376258
GLYCK,275,275,15.73085784,8.271076689,15.73085784
AMPTASEPG,,,34.77133382,8.225602666,34.77133381
3HBZCT,,,27.37597247,8.222498982,27.37597247
SHK3Dr_reverse,75.73114039,75.4150223,237,8.19567356,237
G3PD6,,,33.3,8.188403676,33.3
PGMT_reverse,57.64533333,57.64533333,15.54193381,8.16873868,15.54193381
PYDXPP,5.204444444,5.204444444,51.24411606,8.158306567,51.24411606
3HPADHi,,,11.70958168,8.158080867,11.70958168
FALDH2,1885.210872,1885.210872,21.53587944,8.143686682,21.53587944
NTPP1,14.2877,14.2877,29.83838995,8.116131574,29.83838994
PERD_reverse,1.2,1.2,23.7379897,8.093044151,23.73798971
CTECOAI6_reverse,95.42728814,95.42728814,10.01718596,8.091147121,10.01718596
BWCOGDS2,,,12.89757579,8.073631815,12.89757579
HYD3pp,267.67075,267.67075,17.91401521,8.057213908,17.91401521
PMANM,24.80384615,24.80384615,19.20476463,8.05142132,19.20476463
HACD6_reverse,1379.303195,1379.303195,19.50024679,8.023833112,19.50024679
CDPPH,508.0528642,508.0528642,15.7431861,8.015378974,15.7431861
PRPPS,38.394,38.394,21.23596769,8,21.23596769
UAAGDS,3.708571429,3.708571429,9.441469602,8,9.441469603
HSST,19.02222222,17.49979659,5.23,8,5.23
MTHFD_reverse,175.1076923,175.1076923,18.86564419,7.998968697,18.86564419
NTD2pp,96.6485,96.6485,61,7.984094901,61
PFK_2,105.5894333,104.3756114,62,7.980547403,62
TAGURr,,,15.7386175,7.962874926,15.7386175
DHNAOT4,,,12.90015658,7.955212207,12.90015658
LPLIPAL2ATG161,,,12.61399909,7.9359391,12.61399909
ACCOAC,11.613,8.618264505,8.918790385,7.934690679,8.918790386
GPDDA5pp,,,30.61672692,7.930711837,30.61672692
HACD5_reverse,1379.303195,1379.303195,20.00100723,7.928852254,20.00100723
AHGDx_reverse,11.15222222,11.15222222,16.54488368,7.927823352,16.54488368
CYTBD2pp,,,23.58024978,7.910197436,23.58024978
PSD161,,,19.1008352,7.9,19.1008352
2DDARAA,,,40.90815529,7.895061087,40.90815528
ALLULPE,,,18.13082567,7.888325729,18.13082567
INOSTO_reverse,1.906166667,1.906166667,13.88233585,7.883604419,13.88233585
ATHRDHr_reverse,12.302,12.302,20.24727764,7.872203335,20.24727764
FACOAE181,,,23.33113879,7.860482852,23.33113879
NTPTP1,4000,4000,4000,7.833306079,4000
RHMND,,,14.81638253,7.811098203,14.81638253
SGSAD,,,20.06054736,7.810615017,20.06054736
O16GLCT1,,,9.257675136,7.788198712,9.257675136
ALPATG160pp,,,13.95908829,7.755166297,13.95908829
UMPK_reverse,170.7966667,165.4607279,16.74006399,7.726058677,16.74006399
GK1_reverse,287.3785714,269.5076195,209,7.718210394,209
RNDR2b,,,21.74021206,7.704169363,21.74021206
NADPHQR2,,,14.66460228,7.700291995,14.66460228
4PCP,,,102.2293773,7.696160638,102.2293773
PYK2,427.9841667,427.9841667,13.62533242,7.689127468,13.62533242
CYSDDS,2832.84,2832.84,15.35477495,7.680928826,15.35477495
PPDOy,,,9.545429745,7.669418239,9.545429744
ADK4_reverse,,0.835560343,26.23698923,7.662254293,26.23698923
SERD_D,18.72107143,18.72107143,1.6,7.640870368,1.6
DAAD,53.46448148,53.46448148,18.47633307,7.631395488,18.47633307
BMOGDS1,,,20.27766017,7.59385968,20.27766017
GALS3,193.6052941,193.6052941,19.43526054,7.58729379,19.43526054
CLPNS120pp,,,20.15830941,7.583800934,20.15830941
MLTP2,49.31054468,49.31054468,16.16642941,7.567600963,16.16642941
CBLAT_reverse,176.326452,176.326452,24.86698087,7.55104374,24.86698088
2HESR,,,14.93357507,7.544371859,14.93357507
LPLIPAL2ATE160,,,16.9752665,7.541901845,16.9752665
AGPR,,,32.54898195,7.53908693,32.54898194
TDPADGAT,,,43.58976788,7.538186811,43.58976789
ACACCT,290,290,16.50589226,7.534371915,16.50589226
GALKr_reverse,30.78983,30.78983,23.82728568,7.526071222,23.82728568
METNA_reverse,,,23.54574739,7.523882064,23.54574739
NTP1,8.796111111,8.796111111,17.2,7.507590727,17.2
SDPTA_reverse,24,13.55603882,11.67906089,7.5,11.67906089
GLCP,,,11.06716006,7.475499864,11.06716006
TDSK,2.4,2.4,8.774266578,7.467976218,8.774266578
GNK,9.4,9.4,23.02931814,7.43193709,23.02931814
PPM2_reverse,105.95,105.95,21.7729064,7.427986082,21.7729064
FRULYSK,,,13.91276734,7.409498423,13.91276734
ACACT7r_reverse,333607.94,333607.94,17.84640353,7.403691791,17.84640353
TMDS,3.872352941,3.809475515,0.28,7.4,0.28
MDDCP3pp,33.84328846,33.84328846,18.86306817,7.391410898,18.86306817
FRULYSE_reverse,,,24.45003122,7.364373045,24.45003123
MDDCP2pp,33.84328846,33.84328846,18.3139073,7.36104964,18.3139073
RBK_L1,58.98,58.98,0.84,7.355245697,0.84
PSD141,,,11.03575351,7.344732512,11.03575351
TRE6PS,203.96,203.96,3.2,7.341714707,3.2
MLTGY3pp,,,14.9133723,7.336513878,14.91337229
AMALT3,129.5747692,129.5747692,12.40258461,7.3328042,12.40258461
TMAOR1pp,,,10.63430054,7.323650035,10.63430054
G2PPpp,,,2.9,7.319650105,2.9
MDDEP4pp,,,28.89117688,7.313333315,28.89117689
LYSAM,41.5415,41.5415,19.63295052,7.311612498,19.63295052
DHNCOAS,,,0.062,7.294069256,0.062
OP4ENH,193.1555556,193.1555556,450,7.270328971,450
3PEPTabcpp,,,17.75988885,7.245176428,17.75988884
FEOXAMR1,,,13.99648154,7.244423187,13.99648154
GLTPD_reverse,,,22.19471273,7.226329744,22.19471273
HEPK2,,,11.89115228,7.225239453,11.89115228
2AGPGAT140,,,14.36481508,7.223567853,14.36481508
2AGPGAT181,,,8.310957614,7.220602243,8.310957614
CLPNS140pp_reverse,,,16.1947066,7.208956039,16.1947066
AMANAPEr,,,18.9280103,7.205564071,18.9280103
LADGMDH,,,15.51482879,7.205189133,15.51482879
RMPA,16.64,16.64,38.3,7.199317223,38.3
OXDHCOAT,,,8.833204748,7.197321366,8.833204747
GTHOr,324.5624243,324.5624243,37.71210777,7.194893373,37.71210778
4HTHRK,,,17.81801856,7.175889647,17.81801856
DDPGALA,13.52266667,13.52266667,40.15653889,7.172701246,40.15653889
BWCOGDS1,,,16.62187767,7.164072988,16.62187767
DHPTDNRN,89.94032258,89.94032258,11.09118836,7.156859373,11.09118836
NDPK4_reverse,194.8532778,184.6379278,16.15248477,7.153197147,16.15248477
CYTK2,51.04,51.04,109,7.152806032,109
NTPP10,224.7263636,224.7263636,25.75626346,7.144278961,25.75626346
LIPATPT,0.174,0.174,14.43245422,7.135564622,14.43245422
APG3PAT141,,,32.12630615,7.117679344,32.12630614
LYSAM_reverse,41.5415,41.5415,20.33101536,7.112783474,20.33101536
DDGALK,18.75,18.75,15.25741635,7.110645979,15.25741635
SUCBZS,89.55555556,89.55555556,32.96120705,7.09388517,32.96120706
PAPSR2,0.610888889,0.610888889,17.73254742,7.072291115,17.73254742
AMMQLT8,,,19.51713,7.05766226,19.51713
LPLIPAL2A161,,,15.01083726,7.057229336,15.01083726
ECOAH7_reverse,1111.9,1111.9,13.01480623,6.991997381,13.01480624
CXSAMS,,,39.35314859,6.976795589,39.35314858
S2FE2SS2,,,8.637392416,6.974926807,8.637392417
PEAMNOpp,32.372,32.372,19.58195061,6.972215531,19.58195061
NTD4,96.6485,96.6485,91,6.963519765,91
NTP3,19.85884252,19.85884252,0.33,6.912739173,0.33
DC6PDA,,,33.11452409,6.907877789,33.11452408
XYLK,713.714,713.714,10.42988182,6.889304943,10.42988183
GLCRAL,119.788,119.788,23.76472008,6.879199332,23.76472008
ICHORS_copy2,11.00954545,11.00954545,1.333,6.876059005,1.333
GLUCYS,1074.564286,1074.564286,22.1,6.871955844,22.1
MICITDr,3,18.86151429,12.48145487,6.871070066,12.48145487
MLTP1,49.31054468,49.31054468,38,6.856765816,38
TDPGDH,94.6936,94.6936,13.81069681,6.855028891,13.81069681
FCLPA,12.98666667,12.98666667,19.3,6.846889825,19.3
NDPK2,194.8532778,184.6379278,13.9046372,6.833928374,13.90463719
QMO2,,,39.58523023,6.83356755,39.58523022
ECOAH8_reverse,1111.9,1111.9,11.4781563,6.813992528,11.4781563
M1PD_reverse,67.8875,67.8875,23.1741121,6.803226267,23.1741121
DHORTS_reverse,65.26363636,61.12557948,62.06388841,6.8,62.06388842
CTECOAI6,95.42728814,95.42728814,11.13164968,6.79069631,11.13164968
SOTA,3.733333333,3.733333333,3,6.786073953,3
AGM4PApp,,,11.98301192,6.780696376,11.98301191
GMPS,88.30191667,88.30191667,9.46753824,6.765815019,9.467538239
DASYN140,5.806666667,5.806666667,34.28242017,6.757773268,34.28242017
FACOAL60t2pp,,,9.125317363,6.753030562,9.125317364
EAR181x,15.555278,14.66641222,16.63823195,6.737547576,16.63823195
AGM3PA,,,49.05699037,6.726092241,49.05699036
CTECOAI7,95.42728814,95.42728814,12.10235623,6.725721579,12.10235623
LPLIPAL2ATE141,,,16.75610203,6.711880322,16.75610203
3OXCOAT,173.1055556,173.1055556,15.37115275,6.70090914,15.37115275
PSD160,,,12.77145308,6.7,12.77145308
TYRTA_reverse,145.257,132.5524332,10.75335923,6.695282185,10.75335923
SEPHCHCS,0.191,0.191,0.05,6.692671034,0.05
OHPHM,,,11.02274283,6.68653863,11.02274283
ALDD19xr,29.94818182,29.94818182,96.8,6.678850663,96.8
6D6SFK,,,22.16773614,6.676917312,22.16773614
AST,,,22.98583558,6.675853216,22.98583558
PYK4,427.9841667,427.9841667,14.46569509,6.660910525,14.46569509
CLPNS161pp,,,21.04155192,6.660620929,21.04155192
XYLI1,24.30493103,24.30493103,12.72083966,6.652957835,12.72083966
HACD7_reverse,1379.303195,1379.303195,17.26194567,6.650922383,17.26194567
CRNCBCT_reverse,,,21.96820763,6.645912616,21.96820763
TRPAS2,5.266363636,5.266363636,4,6.64150879,4
PYK6,,,22.3274741,6.627442932,22.3274741
DASYN141,5.806666667,5.806666667,9.682531896,6.627283448,9.682531897
HACD8_reverse,1379.303195,1379.303195,9.877982318,6.612682574,9.877982319
CYTDH,11.23526316,11.23526316,11.6,6.599409602,11.6
ALDD3y,,,17.26188481,6.598048111,17.26188481
AP4AS,,,3.4,6.593989883,3.4
ACACT8r,,,9.966124816,6.593854514,9.966124817
NMNDA,2.593333333,2.593333333,37.02222013,6.566900413,37.02222014
AGM3PApp,,,12.29184687,6.559696713,12.29184687
PETNT161pp,,,16.34844768,6.555451173,16.34844768
R5PPpp,,,4.9,6.547352928,4.9
E4PP,,,36.51324294,6.546515256,36.51324294
5DKGR_reverse,,,31.31341492,6.533660386,31.31341492
AAMYL,,,31.12150826,6.5251157,31.12150825
PSD140,,,24.05816601,6.523707192,24.05816601
NDPK3_reverse,194.8532778,184.6379278,20.22899629,6.521186332,20.22899629
ACP1_FMN,40.75384615,40.75384615,9.4,6.518676589,9.4
PGSA161,,,33.64824584,6.518145943,33.64824583
METS,170.3430667,146.0255486,9.842992493,0.31,9.842992492
URACPAH,,,35.67462581,6.499936016,35.67462581
TPRDCOAS,,,14.29206936,6.487809374,14.29206936
AMPNTAT,,,13.58598898,6.461654172,13.58598898
IPPMIb,3.2,2.666269018,12.38943305,6.459748492,12.38943306
O16AT,,,14.84993288,6.457548795,14.84993288
PSP_Lpp,166.807695,166.807695,1.43,6.451775026,1.43
ALLK,21.42857143,21.42857143,47,6.446906148,47
AHGDx,11.15222222,11.15222222,13.17992386,6.426514042,13.17992386
FMNRx,52.34549091,52.34549091,24.53350395,6.424335,24.53350395
DHACOAH,1111.9,1111.9,16.42013302,6.421222218,16.42013302
MMCD,74.63966667,74.63966667,15.16806559,6.385565788,15.16806559
NO3R2bpp,,,17.14143524,6.37452815,17.14143524
RNDR1b,,,29.12919734,6.343796234,29.12919733
DMQMT,,,20.02537452,6.321019838,20.02537452
DOGULNR,,,17.01167936,6.314884939,17.01167936
LCADi,87.95555556,87.95555556,18.24598508,6.312916156,18.24598508
EDTXS2,,,8.839645736,6.307607656,8.839645736
PDXPP,5.204444444,5.204444444,40.58899098,6.305000086,40.58899097
LPLIPAL2E160,1034.85,1034.85,21.9769591,6.301815757,21.9769591
ASAD_reverse,212.5208333,204.1013988,56.17864029,6.3,56.17864028
2AGPEAT180,,,6.572990756,6.285658301,6.572990756
FEENTERES,,,21.26582201,6.285585064,21.26582201
PSSA180,,,9.343312571,6.274842009,9.343312569
ACNML,9.949666667,9.949666667,10,6.259497484,10
ALATA_L2,,1.300374828,8.359314973,6.246679764,8.359314972
DTMPK_reverse,2.971676471,3.166474113,23.75897528,6.24051966,23.75897528
CYTK1_reverse,83.45304444,83.45304444,103,6.232623737,103
GLTPD,,,8800,6.230290301,8800
FALDH2_reverse,1885.210872,1885.210872,14.53700415,6.225091752,14.53700415
HEPT3,,,11.9536375,6.224526837,11.9536375
OCTNLL,,,10.35922692,6.217296961,10.35922692
PYROX,,,10.37785024,6.216942206,10.37785024
SHGO,,,15.50774555,6.210492353,15.50774555
AMPN,41.33333333,41.33333333,24.83057002,6.197658713,24.83057002
UDCPDPpp,,,9,6.195259308,9
GNP,,,22.93740537,6.190504894,22.93740537
ALAGLUE_reverse,6.907571429,6.907571429,40.35025916,6.176890509,40.35025917
ILETA,238.9846154,222.825642,34.7249396,6.174912718,34.72493961
PACCOAE,,,12.50925083,6.158378086,12.50925083
RBP4E_reverse,17.78911111,17.78911111,24.74673401,6.153822146,24.74673401
ALDD2y,16.2793,16.2793,33.0401063,6.136991167,33.04010631
CRNCBCT,,,17.89868828,6.129241668,17.89868828
FACOAE141,,,22.34403008,6.1292088,22.34403008
O16GALFT,,,12.6765109,6.128821075,12.6765109
KAS15,10.38198333,10.0650177,20.52735315,6.1247895,20.52735315
NDPK1,194.8532778,184.6379278,13.22727879,6.12386342,13.22727879
FACOAL161t2pp,,,8.524944781,6.110975122,8.524944781
ILETA_reverse,18.55055556,18.24573622,10.91284272,6.1,10.91284272
GTPDPK,11.71705882,11.71705882,11.29928839,6.089960935,11.29928839
OBTFL,7.9825,7.9825,4.33,6.089006901,4.33
ANHMK,,,10.28056859,6.070275762,10.28056859
GALCTLO,,,12.1376006,6.0681095,12.1376006
TRSARr_reverse,243,243,25.12200667,6.067587747,25.12200667
PSSA120,,,19.19908698,6.05747006,19.19908698
ACGAMK,10.33465,10.33465,13.32941453,6.053396776,13.32941453
TKT1_reverse,12448.92086,12083.07923,26.72346921,6.046917399,26.72346921
GHBDHx,1329,1329,44.37883499,6.043252173,44.378835
SSALx,50.76470588,50.76470588,24.80671365,6.042491672,24.80671365
O16A4Lpp,,,11.6884294,6.042490144,11.6884294
NADPHXE,,,12.95856087,6.03498832,12.95856087
KG6PDC,45.25,45.25,34.04227356,6.029772463,34.04227356
3AMACHYD,,,30.37894387,6.02837249,30.37894386
NADH10,,3234.95424,32.52580654,6.020844876,32.52580653
G3PAT161,0.029745,0.029745,10.02872072,6.019478017,10.02872072
